Model,Validation Strategy,R2,RMSE,MAE,MAPE,NRMSE,MBE
MLP,Group-Aware (RD),0.5535,10.6426,5.8409,215.8718,1.845,2.8723
MLP,Group-Aware (RD+BT),0.5133,11.1109,5.4473,203.2567,1.9262,1.9406
MLP,Random Split (RD),0.7293,11.1299,3.585,262.9062,1.1966,-0.7306
MLP,Random Split (RD+BT),0.61,13.3606,3.9931,284.2951,1.4364,-0.6967
KNN,Group-Aware (RD),0.5189,11.0472,5.6189,216.0171,1.9152,2.1662
KNN,Group-Aware (RD+BT),0.5233,10.9956,5.6263,212.8571,1.9062,2.2394
KNN,Random Split (RD),0.8481,8.3368,3.0008,149.685,0.8963,-0.3403
KNN,Random Split (RD+BT),0.852,8.2305,2.9509,128.9199,0.8849,-0.2757
XGBoost,Group-Aware (RD),0.326,13.0752,6.4091,282.5052,2.2667,2.2059
XGBoost,Group-Aware (RD+BT),0.3197,13.1359,6.6034,294.9229,2.2773,2.3912
XGBoost,Random Split (RD),0.6274,13.0586,5.2566,1150.5346,1.404,-0.5821
XGBoost,Random Split (RD+BT),0.6585,12.5023,5.1973,1166.9584,1.3441,-0.5031
Decision Tree,Group-Aware (RD),0.0842,15.2409,7.3977,295.5938,2.6422,2.8289
Decision Tree,Group-Aware (RD+BT),0.1174,14.9625,6.823,233.905,2.5939,1.9276
Decision Tree,Random Split (RD),0.4427,15.9707,5.3473,248.9202,1.717,-0.8901
Decision Tree,Random Split (RD+BT),0.4446,15.9432,5.2512,260.1543,1.7141,-1.0265
