Repeat,Seed,Model,Group RMSE (RD),Group RMSE (RD+BT),Group dRMSE (BT-RD),Random RMSE (RD),Random RMSE (RD+BT),Random dRMSE (BT-RD)
1.0,42.0,Decision Tree,10.1457,11.9758,1.8301,11.2862,11.3932,0.107
1.0,42.0,XGBoost,10.389,9.9027,-0.4863,8.9288,8.6461,-0.2827
1.0,42.0,KNN,9.3556,8.8013,-0.5543,6.8612,6.8142,-0.0471
1.0,42.0,MLP,9.3952,16.7083,7.3131,8.019,7.5662,-0.4528
2.0,43.0,Decision Tree,15.2374,19.9247,4.6873,13.4244,11.0694,-2.355
2.0,43.0,XGBoost,16.1985,16.3925,0.194,7.5386,7.2708,-0.2678
2.0,43.0,KNN,13.2065,13.0143,-0.1921,8.4883,8.8825,0.3942
2.0,43.0,MLP,18.443,16.0846,-2.3583,6.8284,6.8989,0.0705
3.0,44.0,Decision Tree,12.8812,11.9681,-0.9131,8.3941,7.7436,-0.6505
3.0,44.0,XGBoost,10.0519,10.3142,0.2623,7.9534,7.7544,-0.199
3.0,44.0,KNN,11.0303,11.3463,0.316,7.114,7.2219,0.1079
3.0,44.0,MLP,13.3597,16.5064,3.1467,6.0992,6.4304,0.3312
4.0,45.0,Decision Tree,8.8475,9.1712,0.3237,10.3523,8.6172,-1.7352
4.0,45.0,XGBoost,8.9989,9.2903,0.2914,10.0161,9.7476,-0.2686
4.0,45.0,KNN,10.0203,9.9833,-0.037,8.2268,8.3181,0.0913
4.0,45.0,MLP,11.0785,12.0452,0.9668,7.6065,7.1782,-0.4283
5.0,46.0,Decision Tree,17.1253,17.0968,-0.0284,10.8444,10.6928,-0.1516
5.0,46.0,XGBoost,12.6779,11.9947,-0.6832,8.4767,7.5269,-0.9498
5.0,46.0,KNN,10.2311,10.0316,-0.1996,7.9689,7.8197,-0.1492
5.0,46.0,MLP,9.1052,11.9751,2.8699,7.8631,8.0434,0.1803
6.0,47.0,Decision Tree,21.4392,20.3365,-1.1027,9.4658,9.9914,0.5256
6.0,47.0,XGBoost,18.4431,17.8912,-0.5519,8.7985,8.8936,0.0951
6.0,47.0,KNN,17.0725,16.3421,-0.7305,8.8363,8.9235,0.0872
6.0,47.0,MLP,18.2981,18.0556,-0.2425,8.0848,8.5642,0.4794
7.0,48.0,Decision Tree,8.0698,11.7145,3.6446,8.227,9.1591,0.9321
7.0,48.0,XGBoost,7.6876,8.7513,1.0637,9.4222,9.5189,0.0966
7.0,48.0,KNN,9.9792,9.085,-0.8942,9.053,9.2499,0.1968
7.0,48.0,MLP,9.3625,9.6369,0.2744,9.6205,7.889,-1.7315
8.0,49.0,Decision Tree,17.167,17.4367,0.2697,13.078,13.4163,0.3383
8.0,49.0,XGBoost,18.0723,18.0036,-0.0688,13.9557,14.267,0.3113
8.0,49.0,KNN,17.1544,16.9285,-0.2259,14.8314,14.2573,-0.5741
8.0,49.0,MLP,17.0272,17.9107,0.8835,11.8821,9.0139,-2.8682
9.0,50.0,Decision Tree,14.1864,13.9516,-0.2348,10.3387,10.3992,0.0605
9.0,50.0,XGBoost,15.2071,15.9801,0.773,7.772,7.8468,0.0748
9.0,50.0,KNN,10.6717,10.7362,0.0645,8.4725,8.2008,-0.2717
9.0,50.0,MLP,15.3575,15.9181,0.5607,6.8313,6.9249,0.0937
10.0,51.0,Decision Tree,17.521,21.6921,4.1711,9.9406,7.8749,-2.0657
10.0,51.0,XGBoost,15.2821,15.5347,0.2526,7.6178,7.3691,-0.2487
10.0,51.0,KNN,12.9608,13.1822,0.2215,7.6254,7.5356,-0.0898
10.0,51.0,MLP,16.4282,17.1768,0.7486,7.1559,6.7464,-0.4095
