Model,Repeat,param__min_samples_split,param__min_samples_leaf,param__max_features,param__max_depth,param__subsample,param__reg_lambda,param__reg_alpha,param__n_estimators,param__min_child_weight,param__learning_rate,param__gamma,param__colsample_bytree,param__weights,param__p,param__n_neighbors,param__learning_rate_init,param__hidden_layer_sizes,param__alpha,param__activation
Decision Tree,1,40.0,32.0,0.8,12.0,,,,,,,,,,,,,,,
Decision Tree,2,10.0,16.0,0.8,12.0,,,,,,,,,,,,,,,
Decision Tree,3,40.0,8.0,0.5,10.0,,,,,,,,,,,,,,,
Decision Tree,4,2.0,1.0,0.5,12.0,,,,,,,,,,,,,,,
Decision Tree,5,2.0,32.0,,5.0,,,,,,,,,,,,,,,
Decision Tree,6,40.0,2.0,0.8,8.0,,,,,,,,,,,,,,,
Decision Tree,7,10.0,4.0,,,,,,,,,,,,,,,,,
Decision Tree,8,2.0,2.0,,6.0,,,,,,,,,,,,,,,
Decision Tree,9,5.0,2.0,0.8,6.0,,,,,,,,,,,,,,,
Decision Tree,10,10.0,2.0,1.0,8.0,,,,,,,,,,,,,,,
KNN,1,,,,,,,,,,,,,distance,1.0,21.0,,,,
KNN,2,,,,,,,,,,,,,distance,1.0,31.0,,,,
KNN,3,,,,,,,,,,,,,distance,1.0,15.0,,,,
KNN,4,,,,,,,,,,,,,distance,1.0,15.0,,,,
KNN,5,,,,,,,,,,,,,distance,1.0,31.0,,,,
KNN,6,,,,,,,,,,,,,distance,1.0,31.0,,,,
KNN,7,,,,,,,,,,,,,distance,1.0,31.0,,,,
KNN,8,,,,,,,,,,,,,uniform,2.0,31.0,,,,
KNN,9,,,,,,,,,,,,,distance,1.0,31.0,,,,
KNN,10,,,,,,,,,,,,,distance,1.0,31.0,,,,
MLP,1,,,,,,,,,,,,,,,,0.005,"(64, 64, 32)",0.001,tanh
MLP,2,,,,,,,,,,,,,,,,0.01,"(128, 64)",0.01,tanh
MLP,3,,,,,,,,,,,,,,,,0.001,"(64, 64, 32)",0.001,tanh
MLP,4,,,,,,,,,,,,,,,,0.001,"(128, 64)",0.1,relu
MLP,5,,,,,,,,,,,,,,,,0.001,"(64, 64, 32)",0.001,tanh
MLP,6,,,,,,,,,,,,,,,,0.01,"(100, 50)",0.01,tanh
MLP,7,,,,,,,,,,,,,,,,0.001,"(64, 64, 32)",0.001,tanh
MLP,8,,,,,,,,,,,,,,,,0.005,"(100, 50)",0.01,tanh
MLP,9,,,,,,,,,,,,,,,,0.005,"(128, 64)",0.001,tanh
MLP,10,,,,,,,,,,,,,,,,0.01,"(128, 64)",0.01,tanh
XGBoost,1,,,,4.0,0.6,0.5,0.1,100.0,4.0,0.02,0.1,0.5,,,,,,,
XGBoost,2,,,,3.0,0.6,0.5,0.1,300.0,1.0,0.1,0.3,1.0,,,,,,,
XGBoost,3,,,,4.0,0.6,0.5,0.1,100.0,4.0,0.02,0.1,0.5,,,,,,,
XGBoost,4,,,,4.0,0.6,0.5,0.1,100.0,4.0,0.02,0.1,0.5,,,,,,,
XGBoost,5,,,,4.0,0.7,0.5,0.5,500.0,2.0,0.1,1.0,0.7,,,,,,,
XGBoost,6,,,,5.0,0.6,2.0,0.0,800.0,2.0,0.01,1.0,0.5,,,,,,,
XGBoost,7,,,,2.0,0.9,5.0,0.1,800.0,10.0,0.05,0.3,0.5,,,,,,,
XGBoost,8,,,,2.0,0.7,1.0,0.1,300.0,1.0,0.01,0.3,0.8,,,,,,,
XGBoost,9,,,,2.0,0.6,2.0,0.5,500.0,4.0,0.2,0.0,0.5,,,,,,,
XGBoost,10,,,,4.0,0.7,5.0,0.0,300.0,1.0,0.02,0.0,0.7,,,,,,,
