feature,importance
gas_k,0.2714810352350893
Flow Velocity (Co flow is + and counter flow is -),0.20428300622611748
fuel_density_kg_m3,0.12190047009791853
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.12162612063111906
gas_M,0.07505053705367049
gas_cp_mass,0.04572198269895686
fuel_pyrolysis_T_K,0.03782851411363539
gas_alpha_m2_s,0.03434003127430901
gas_nu_m2_s,0.020446491769856134
"Internal geometry (Cylindrical , rectangular)_Rectangular",0.012416205939962606
"Ignition method (Wire, open flame, or Radiative Heater_Radiative Heater",0.009167158790769691
gas_density_kg_m3,0.008873555468937878
Oxygen Concentration,0.008158392024855425
Pressure,0.00765288904696252
Gravity (g/gearth),0.00584327234191459
Ignition time (s),0.0054673150416732555
diluent_CO2,0.0036172994518534167
fuel_k_W_mK,0.0014103498250021794
"Geometry of Sample (Flat, wire, or Cylindrical)_Flat",0.0012649227508211274
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Ground",0.0011421802782060303
core_density_kg_m3,0.0007928479041287126
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Drop Tower",0.0007817805400253421
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Parabolic Aircraft",0.00033674254141179973
"Internal geometry (Cylindrical , rectangular)_Cylindrical",0.00018087046610554988
Ignition power (W),7.476441652019522e-05
fuel_cp_J_kgK,7.059865936205056e-05
diluent_N2,3.7080355696040734e-05
Internal Dimensions,1.9297953330351196e-05
"Ignition method (Wire, open flame, or Radiative Heater_open flame",1.428710178892654e-05
core_cp_J_kgK,0.0
core_k_W_mK,0.0
diluent_Ar,0.0
"Geometry of Sample (Flat, wire, or Cylindrical)_wire",0.0
"Geometry of Sample (Flat, wire, or Cylindrical)_Wire",0.0
"Geometry of Sample (Flat, wire, or Cylindrical)_Cylindrical",0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Centrifuge",0.0
"Internal geometry (Cylindrical , rectangular)_Hemispherical",0.0
diluent_He,0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Sounding Rocket",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Open Flame",0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Spacecraft",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Open flame",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Wire",0.0
