feature,importance
Oxygen Concentration,0.25112587
Flow Velocity (Co flow is + and counter flow is -),0.13516685
Ignition time (s),0.09332842
Pressure,0.08107914
fuel_density_kg_m3,0.07620072
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.06852726
gas_nu_m2_s,0.055571616
gas_density_kg_m3,0.050221164
"Internal geometry (Cylindrical , rectangular)_Cylindrical",0.04712184
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Drop Tower",0.038604613
gas_k,0.03377559
gas_alpha_m2_s,0.029048422
Internal Dimensions,0.013371713
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Ground",0.010359799
Gravity (g/gearth),0.010104249
Ignition power (W),0.0034660136
core_density_kg_m3,0.0029267073
fuel_k_W_mK,0.0
fuel_pyrolysis_T_K,0.0
gas_cp_mass,0.0
gas_M,0.0
core_cp_J_kgK,0.0
core_k_W_mK,0.0
fuel_cp_J_kgK,0.0
"Geometry of Sample (Flat, wire, or Cylindrical)_Wire",0.0
"Geometry of Sample (Flat, wire, or Cylindrical)_Cylindrical",0.0
"Geometry of Sample (Flat, wire, or Cylindrical)_Flat",0.0
diluent_CO2,0.0
diluent_Ar,0.0
"Geometry of Sample (Flat, wire, or Cylindrical)_wire",0.0
diluent_He,0.0
"Internal geometry (Cylindrical , rectangular)_Hemispherical",0.0
diluent_N2,0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Centrifuge",0.0
"Internal geometry (Cylindrical , rectangular)_Rectangular",0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Parabolic Aircraft",0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Sounding Rocket",0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Spacecraft",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Open Flame",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Open flame",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Radiative Heater",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Wire",0.0
"Ignition method (Wire, open flame, or Radiative Heater_open flame",0.0
