Repeat,Seed,Model,Random RMSE,Group RMSE,Generalization Gap
1,42,Decision Tree,11.2862,10.1457,-1.1405
1,42,XGBoost,8.9288,10.389,1.4602
1,42,KNN,6.8612,9.3556,2.4944
1,42,MLP,8.019,9.3952,1.3762
2,43,Decision Tree,13.4244,15.2374,1.813
2,43,XGBoost,7.5386,16.1985,8.6599
2,43,KNN,8.4883,13.2065,4.7182
2,43,MLP,6.8284,18.443,11.6146
3,44,Decision Tree,8.3941,12.8812,4.4871
3,44,XGBoost,7.9534,10.0519,2.0985
3,44,KNN,7.114,11.0303,3.9163
3,44,MLP,6.0992,13.3597,7.2605
4,45,Decision Tree,10.3523,8.8475,-1.5049
4,45,XGBoost,10.0161,8.9989,-1.0172
4,45,KNN,8.2268,10.0203,1.7935
4,45,MLP,7.6065,11.0785,3.472
5,46,Decision Tree,10.8444,17.1253,6.2809
5,46,XGBoost,8.4767,12.6779,4.2012
5,46,KNN,7.9689,10.2311,2.2622
5,46,MLP,7.8631,9.1052,1.2421
6,47,Decision Tree,9.4658,21.4392,11.9734
6,47,XGBoost,8.7985,18.4431,9.6447
6,47,KNN,8.8363,17.0725,8.2362
6,47,MLP,8.0848,18.2981,10.2133
7,48,Decision Tree,8.227,8.0698,-0.1572
7,48,XGBoost,9.4222,7.6876,-1.7346
7,48,KNN,9.053,9.9792,0.9262
7,48,MLP,9.6205,9.3625,-0.258
8,49,Decision Tree,13.078,17.167,4.089
8,49,XGBoost,13.9557,18.0723,4.1166
8,49,KNN,14.8314,17.1544,2.323
8,49,MLP,11.8821,17.0272,5.145
9,50,Decision Tree,10.3387,14.1864,3.8477
9,50,XGBoost,7.772,15.2071,7.4351
9,50,KNN,8.4725,10.6717,2.1992
9,50,MLP,6.8313,15.3575,8.5262
10,51,Decision Tree,9.9406,17.521,7.5804
10,51,XGBoost,7.6178,15.2821,7.6643
10,51,KNN,7.6254,12.9608,5.3353
10,51,MLP,7.1559,16.4282,9.2723
