Model,Validation Strategy,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,NRMSE_mean,NRMSE_std,MBE_mean,MBE_std
KNN,Group-Aware (RD),0.508,0.1066,11.6815,2.1982,6.1312,1.204,447.3103,400.8837,1.3389,0.2684,0.3117,2.0973
KNN,Group-Aware (RD+BT),0.4941,0.1134,11.8266,2.082,6.2157,1.16,458.9528,414.2505,1.3532,0.2388,0.4594,2.2206
KNN,Random Split (RD),0.7352,0.0454,9.2082,0.9555,3.6332,0.2644,102.1709,21.391,1.0317,0.1011,-0.0655,0.3356
KNN,Random Split (RD+BT),0.7383,0.0435,9.1567,0.9298,3.5741,0.2531,94.472,21.4873,1.0257,0.0964,-0.1482,0.265
XGBoost,Group-Aware (RD),0.3516,0.2261,13.4408,3.529,7.3015,1.5827,794.6167,435.5773,1.5297,0.3919,1.744,1.6851
XGBoost,Group-Aware (RD+BT),0.3378,0.2377,13.5821,3.7151,7.3975,1.6636,813.869,442.1243,1.5454,0.4144,1.87,1.8634
XGBoost,Random Split (RD),0.6424,0.1166,10.6814,2.3327,4.8463,0.9054,817.8409,374.6365,1.1916,0.233,-0.2872,0.4041
XGBoost,Random Split (RD+BT),0.6511,0.1039,10.5732,2.2141,4.8347,0.8798,822.2171,383.6082,1.1796,0.2169,-0.2245,0.4943
Decision Tree,Group-Aware (RD),0.1167,0.4264,15.4528,4.7426,8.0439,2.3011,659.9364,497.7109,1.7585,0.5131,2.6904,3.0809
Decision Tree,Group-Aware (RD+BT),0.2068,0.5265,14.3693,5.7747,7.1636,2.3183,614.4411,476.6806,1.6406,0.6317,1.4782,2.2883
Decision Tree,Random Split (RD),0.6226,0.1107,10.9921,2.2199,4.4355,0.6981,313.8336,155.3962,1.2273,0.2195,-0.1766,0.4569
Decision Tree,Random Split (RD+BT),0.6265,0.1203,10.902,2.2261,4.4448,0.5501,308.885,162.2955,1.218,0.2279,-0.1787,0.4801
MLP,Group-Aware (RD),-0.7613,3.2907,17.0336,10.0298,7.2378,1.5829,440.0217,260.7642,2.0533,1.5146,1.7388,2.5449
MLP,Group-Aware (RD+BT),-0.29,1.7756,16.0674,6.6636,7.5179,1.6447,509.0682,226.9578,1.9066,1.0396,1.887,2.6723
MLP,Random Split (RD),0.7509,0.0571,8.9219,1.2536,3.5921,0.3324,211.4939,70.3616,0.9986,0.1293,-0.0674,0.4904
MLP,Random Split (RD+BT),0.7563,0.0619,8.8315,1.4542,3.5622,0.4105,216.4013,79.3185,0.9871,0.1431,-0.2723,0.3382
