Repeat,Seed,Model,Validation Strategy,R2,RMSE,MAE,MAPE,NRMSE,MBE
1,42,Decision Tree,Group-Aware (RD),0.214,15.8285,8.7892,1556.0213,2.0153,3.8454
1,42,Decision Tree,Random Split (RD),0.7041,8.6945,3.4532,211.4227,1.0683,0.4009
1,42,Decision Tree,Group-Aware (RD+BT),0.4714,12.9803,6.7204,1739.4608,1.6527,2.4611
1,42,Decision Tree,Random Split (RD+BT),0.7134,8.5554,3.6314,285.009,1.0512,0.5125
1,42,XGBoost,Group-Aware (RD),0.4006,13.8222,6.7167,943.9604,1.7599,1.8719
1,42,XGBoost,Random Split (RD),0.7851,7.4092,3.2528,274.5894,0.9104,0.4267
1,42,XGBoost,Group-Aware (RD+BT),0.4414,13.3431,6.4714,928.4962,1.6989,1.6504
1,42,XGBoost,Random Split (RD+BT),0.759,7.8455,3.3906,305.6294,0.964,0.6178
1,42,KNN,Group-Aware (RD),0.4448,13.3023,7.5574,1384.4027,1.6937,3.4036
1,42,KNN,Random Split (RD),0.7201,8.455,3.436,132.2217,1.0389,0.41
1,42,KNN,Group-Aware (RD+BT),0.4773,12.9079,7.4635,1464.2579,1.6435,3.5418
1,42,KNN,Random Split (RD+BT),0.73,8.3047,3.3794,131.4202,1.0204,0.3569
1,42,MLP,Group-Aware (RD),0.5629,11.8037,5.7432,984.2723,1.5029,2.3001
1,42,MLP,Random Split (RD),0.8072,7.0172,3.0793,289.8807,0.8622,0.7917
1,42,MLP,Group-Aware (RD+BT),0.5774,11.6065,5.6738,835.0863,1.4778,1.2852
1,42,MLP,Random Split (RD+BT),0.8317,6.5559,3.0738,353.5557,0.8055,0.3299
2,43,Decision Tree,Group-Aware (RD),0.4734,12.8933,7.0846,333.7395,1.5275,1.3649
2,43,Decision Tree,Random Split (RD),0.5163,13.9278,5.7749,485.6178,1.5004,-0.5179
2,43,Decision Tree,Group-Aware (RD+BT),0.4578,13.0819,6.8563,757.0479,1.5498,1.0031
2,43,Decision Tree,Random Split (RD+BT),0.5863,12.8809,5.3411,497.9895,1.3876,-0.9941
2,43,XGBoost,Group-Aware (RD),0.1786,16.1021,9.6265,609.164,1.9076,4.5835
2,43,XGBoost,Random Split (RD),0.6353,12.094,5.0678,873.0933,1.3028,-0.5719
2,43,XGBoost,Group-Aware (RD+BT),0.0537,17.2834,9.9859,615.9178,2.0476,4.9646
2,43,XGBoost,Random Split (RD+BT),0.6372,12.0617,4.9492,847.8322,1.2993,-0.7256
2,43,KNN,Group-Aware (RD),0.5535,11.8714,6.611,334.9236,1.4064,2.1026
2,43,KNN,Random Split (RD),0.774,9.5204,3.6469,105.7793,1.0256,-0.1425
2,43,KNN,Group-Aware (RD+BT),0.5341,12.1269,6.8205,350.8082,1.4367,2.2793
2,43,KNN,Random Split (RD+BT),0.776,9.478,3.6436,94.475,1.021,-0.3053
2,43,MLP,Group-Aware (RD),0.3343,14.4963,7.2966,272.1541,1.7174,1.8662
2,43,MLP,Random Split (RD),0.8031,8.8867,3.773,353.0084,0.9573,0.6438
2,43,MLP,Group-Aware (RD+BT),0.558,11.8124,5.6057,324.1965,1.3994,-0.2981
2,43,MLP,Random Split (RD+BT),0.7964,9.0362,3.5083,315.9962,0.9734,-0.4487
3,44,Decision Tree,Group-Aware (RD),0.5804,9.5237,4.8472,216.2174,1.1303,-0.5357
3,44,Decision Tree,Random Split (RD),0.4277,14.8981,4.9097,278.1586,1.63,-0.1884
3,44,Decision Tree,Group-Aware (RD+BT),0.6372,8.8552,5.0793,234.7017,1.0509,-1.2521
3,44,Decision Tree,Random Split (RD+BT),0.4404,14.7308,4.9772,191.9235,1.6117,-0.1399
3,44,XGBoost,Group-Aware (RD),0.6117,9.1609,5.3803,576.0207,1.0872,0.038
3,44,XGBoost,Random Split (RD),0.4405,14.7299,5.8778,1006.8535,1.6116,-0.663
3,44,XGBoost,Group-Aware (RD+BT),0.6109,9.1713,5.4247,580.3333,1.0884,-0.0122
3,44,XGBoost,Random Split (RD+BT),0.4656,14.3954,5.7704,987.073,1.575,-0.6661
3,44,KNN,Group-Aware (RD),0.6382,8.8439,4.5984,112.2498,1.0496,-1.3353
3,44,KNN,Random Split (RD),0.6961,10.8559,4.114,104.541,1.1878,-0.317
3,44,KNN,Group-Aware (RD+BT),0.605,9.2406,4.9213,143.3009,1.0967,-1.137
3,44,KNN,Random Split (RD+BT),0.7105,10.5953,3.9617,90.1392,1.1593,-0.4239
3,44,MLP,Group-Aware (RD),-0.058,15.1221,7.9049,302.4626,1.7947,3.9775
3,44,MLP,Random Split (RD),0.6682,11.343,4.2765,255.7306,1.2411,-0.0957
3,44,MLP,Group-Aware (RD+BT),-0.3456,17.0545,8.8374,319.5195,2.024,5.4158
3,44,MLP,Random Split (RD+BT),0.6413,11.7939,4.4999,251.1876,1.2904,-0.282
4,45,Decision Tree,Group-Aware (RD),-0.083,19.5592,10.3195,775.5261,1.9529,5.5846
4,45,Decision Tree,Random Split (RD),0.6347,9.9641,3.8993,189.6399,1.1349,-0.0566
4,45,Decision Tree,Group-Aware (RD+BT),-0.2619,21.1133,9.2388,620.485,2.1081,4.1632
4,45,Decision Tree,Random Split (RD+BT),0.7065,8.9309,3.7704,134.9441,1.0172,-0.0198
4,45,XGBoost,Group-Aware (RD),0.3395,15.2752,8.3195,573.2527,1.5252,2.9369
4,45,XGBoost,Random Split (RD),0.6067,10.3385,5.145,968.6893,1.1776,-0.307
4,45,XGBoost,Group-Aware (RD+BT),0.322,15.4763,8.581,572.0603,1.5452,3.4401
4,45,XGBoost,Random Split (RD+BT),0.6311,10.0127,5.1166,991.0527,1.1405,-0.0547
4,45,KNN,Group-Aware (RD),0.4483,13.9608,7.8412,793.081,1.3939,3.1284
4,45,KNN,Random Split (RD),0.7752,7.817,3.2305,111.1086,0.8904,-0.3214
4,45,KNN,Group-Aware (RD+BT),0.411,14.4247,7.9877,754.7769,1.4402,3.5306
4,45,KNN,Random Split (RD+BT),0.7679,7.9413,3.1867,94.7661,0.9045,-0.2431
4,45,MLP,Group-Aware (RD),0.6347,11.3592,6.4678,417.9449,1.1342,1.2287
4,45,MLP,Random Split (RD),0.8011,7.3519,3.2344,179.0282,0.8374,-0.7046
4,45,MLP,Group-Aware (RD+BT),0.5403,12.7436,7.1322,758.6737,1.2724,2.9154
4,45,MLP,Random Split (RD+BT),0.7317,8.5394,3.4632,147.4538,0.9726,-0.5004
5,46,Decision Tree,Group-Aware (RD),0.1616,16.7333,7.7756,313.9152,1.6224,0.8384
5,46,Decision Tree,Random Split (RD),0.6088,11.1503,4.048,293.7347,1.2764,0.5334
5,46,Decision Tree,Group-Aware (RD+BT),0.6431,10.9184,4.8806,62.4736,1.0586,-2.093
5,46,Decision Tree,Random Split (RD+BT),0.524,12.3001,4.2554,197.3325,1.408,0.519
5,46,XGBoost,Group-Aware (RD),0.385,14.3314,7.0708,1100.9399,1.3895,-1.0245
5,46,XGBoost,Random Split (RD),0.5129,12.4425,5.4281,1178.3344,1.4243,-0.1929
5,46,XGBoost,Group-Aware (RD+BT),0.3825,14.3601,7.0431,1161.633,1.3923,-1.4793
5,46,XGBoost,Random Split (RD+BT),0.5482,11.9824,5.4573,1248.4243,1.3717,0.0391
5,46,KNN,Group-Aware (RD),0.6984,10.0355,4.9357,87.7141,0.973,-1.2979
5,46,KNN,Random Split (RD),0.6697,10.2463,3.834,118.2523,1.1729,0.5772
5,46,KNN,Group-Aware (RD+BT),0.6744,10.428,5.2142,91.139,1.0111,-1.3798
5,46,KNN,Random Split (RD+BT),0.6566,10.4467,3.8022,112.9165,1.1959,0.2451
5,46,MLP,Group-Aware (RD),0.6387,10.9853,5.5889,212.8486,1.0651,-2.5863
5,46,MLP,Random Split (RD),0.7049,9.6852,3.6203,153.9345,1.1087,-0.3774
5,46,MLP,Group-Aware (RD+BT),0.5801,11.8426,5.9611,291.7571,1.1482,-2.7639
5,46,MLP,Random Split (RD+BT),0.7265,9.3229,3.7183,208.3929,1.0672,-0.0097
