paper,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
"Vetturini, Anthony, Wohan Cui, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Flame Spread Over Ultra-thin Solids: Effect of Area Density and Concurrent-Opposed Spread Reversal Phenomenon."" Fire Technology 56 (2020): 91-111.",-1.9336485931337197,92.22647023068134,75.98609894011237,106.9641755519209,-51.43667266326138,1.170251669786013,11
"Li, Yanjun, et al. ""Experimental study of concurrent-flow flame spread over thin solids in confined space in 0."" Combustion and Flame 227 (2021): 39-51.",-2794.9611475875604,17.247906136784156,17.244821428571434,1035.544882426655,17.244821428571434,9.912589733784,5
"Olson, Sandra L., et al. “Sounding Rocket 0 Experiments Elucidating Diffusive and Radiative Transport Effects on Flame Spread over Thermally Thick Solids.” Combustion Science and Technology, vol. 176, no. 11–12, 2004, pp. 2021–2047",-0.0914778339634097,16.569291652324896,14.801019697797537,94.7125394747247,11.28340065017849,0.6206588160554554,54
"Olson, Sandra L., et al. “Experimental Observations of Spot Radiative Ignition and Subsequent Three-Dimensional Flame Spread over Thin Cellulose Fuels.” Combustion and Flame, vol. 126, no. 1–2, 2001, pp. 1031–1039",-44.9186628931687,14.453531511071999,10.96917134447781,555.375435211395,10.96917134447781,5.349107464775574,44
"Olson, S. L., et al. “Mechanisms of 0 Flame Spread over a Thin Solid Fuel: Oxygen and Opposed Flow Effects.” Combustion Science and Technology, vol.76 (1991) 233–249",-2.4090397228819502,9.066934071572385,7.980534747010201,56.96565333075664,-7.621955477319463,0.679486658341131,30
"Sacksteder, Kurt R., and James S. T’ien. “Buoyant Downward Diffusion Flame Spread and Extinction in Partial-Gravity Accelerations.” Symposium (International) on Combustion, vol. 25, no. 1, 1994, pp. 1685–1692.",-3.8405106150831436,6.555748490638054,5.83943972686039,68.51608560936783,-5.83943972686039,0.8252115879213718,37
"Sharma, Ankit, et al. ""Effects of Confinement on Opposed-Flow Flame Spread over Cellulose and Polymeric Solids in 0."" 0 Science and Technology 36 (2024): 20.",-80.45330503840856,5.122650108628751,5.0911076805752735,8096.003789815588,5.0911076805752735,8.121691594121017,19
"Wu, Chuanjia, Shuangfeng Wang, Feng Zhu, Xinyan Huang, and Yongli Yin. ""Opposed Flame Spread over Cylindrical PMMA Under Oxygen-Enriched 0 Environment."" Fire Technology, vol. 56, 2020, pp. 71–89. https://doi.org/10.1007/s10694-019-00896-8.",-23.889604750934353,3.3558606740024164,2.9682571179394426,1252.340030494698,2.9682571179394426,4.614254353460119,96
"Kumar, Vipin, Prema Prescilla T., Amit Kumar, Akash Gupta, and Payal Sharma. ""An Experimental Study of Opposed Flame Spread along Various Thin Fuel Configurations in 0."" 0 Science and Technology 36.64 (2024).",-2.832530181011828,3.2081882829640764,2.7580639361214208,30.10848368683203,-2.7580639361214208,0.3783281740068842,34
"Kobayashi, Yoshinari, et al. ""Opposed flame spread over polyethylene under variable flow velocity and oxygen concentration in 0."" Fire Technology 56 (2020): 113-130.",-442.5247257540167,1.9949125748288108,1.9926623752417123,2615.7669245688235,1.9926623752417123,17.776448686593362,9
Kikuchi et al. (1998) Flame spread over ETFE wire insulation in 0,-0.5804397907011343,1.9695778086659412,1.6486169476235528,36.67156933099256,-1.1151971102802167,0.4843224119670346,39
"Kleinhenz, Julie, et al. ""Pressure modeling of upward flame spread and burning rates over solids in partial gravity."" Combustion and flame 154.4 (2008): 637-643.",-0.9263900609169127,1.646321565230295,1.3267838288979648,37.28669279260517,-1.1416671266739964,0.507098517171307,58
"Konno, Yusuke, Muhammad Zhaffri Bin Zainal, Nozomu Hashimoto, and Osamu Fujita. ""Application of ISO 4589-4 to determine limiting oxygen concentrations for opposed-flow flame spread over thin electric wires and their comparison with 0 data."" Fire Safety Journal 141 (2023): 103989.",-0.7909790135519881,1.1414817284566918,0.8765187548244153,41.07072204116085,-0.2378555741907611,0.4701644486636905,97
"Guibaud, Augustin, Jean-Marie Citerne, Jean-Louis Consalvi, and Guillaume Legros. ""On the Effects of Opposed Flow Conditions on Non-Buoyant Flames Spreading over Polyethylene-Coated Wires – Part I: Spread Rate and Soot Production."" Combustion and Flame, vol. 221, 2020, pp. 530–543. https://doi.org/10.1016/j.combustflame.2020.07.044.",-34.10464408168719,0.8011732036851019,0.7896795455984902,61.71357764449227,0.7896795455984902,0.6091622006384052,91
