paper,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.",0.00708149505249267,35.09438863318306,29.225494276836695,61.26219878772496,-18.116824079373277,0.605075666089363,30
"Son, Youngjin, and Paul D. Ronney. ""Radiation-Driven Flame Spread over Thermally Thick Fuels in Quiescent 0 Environments."" Proceedings of the Combustion Institute, vol. 29, no. 2, 2002, pp. 2587–2594. https://doi.org/10.1016/S1540-7489(02)80315-7.",0.08997409949031676,17.038055537039686,13.724918100855291,144.75779528361068,7.439181332685017,0.5961473616695322,40
"Takahashi, Shuhei, et al. 'Effect of Ambient Gas on Flame Spread over a Solid Material in 0.' J. Jpn. Soc. 0 Appl. 24.3 (2007): 225–230.",-23.006488144644855,10.40195152148266,6.4379489281170095,267.1297752217386,5.004342521135074,3.551733931953408,122
"Kleinhenz, Julie, et al. ""Pressure modeling of upward flame spread and burning rates over solids in partial gravity."" Combustion and flame 154.4 (2008): 637-643.",-54.40472169676253,8.829089951845713,7.9605147627338,329.36664694440293,7.9605147627338,2.719528503489386,58
"Zhu, Feng, Xinyan Huang, and Shuangfeng Wang. ""Flame Spread over Polyethylene Film: Effects of Gravity and Fuel Inclination."" 0 Science and Technology, vol. 34, article 26, 2022. https://doi.org/10.1007/s12217-022-09945-4.",-2.3207447938200603,8.731138179752493,7.263628252584518,69.1642159071815,-7.263628252584518,0.9780297350028251,11
"Fujita, Osamu, Masao Kikuchi, Kenichi Ito, and Katsuhiro Nishizawa. ""Effective mechanisms to determine flame spread rate over ethylene-tetrafluoroethylene wire insulation: discussion on dilution gas effect based on temperature measurements."" Proceedings of the Combustion Institute 28.2 (2000): 2905-2911.",,7.301583336207753,6.34221796652781,,6.34221796652781,,15
"Basavanahalli Vrushabhendra, Manu, Kambam Naresh, Amit Kumar, Akash Gupta, and Payal Sharma. ""Role of Heat Transfer on Diffusion Flame Spreading Over Solid Cylindricals."" Heat Transfer Engineering (2025).",-4.297150907873793,4.908444209148662,4.433313910844589,247.15982884431682,4.433313910844589,1.5004796971031449,8
"Sacksteder, Kurt R., and James S. T’ien. “Buoyant Downward Diffusion Flame Spread and Extinction in Partial-Gravity Accelerations.” Symposium (International) on Combustion, vol. 25, no. 1, 1994, pp. 1685–1692.",-0.7077083182933859,3.89388877478475,2.943567595929593,58.22779211428929,2.643035528129059,0.49014725681103555,37
"Bhattacharjee, Subrata, Matthew Laue, Luca Carmignani, Paul Ferkul, and Sandra Olson. ""Opposed-Flow Flame Spread: A Comparison of 0 and Normal Gravity Experiments to Establish the Thermal Regime."" Fire Safety Journal, vol. 79, 2016, pp. 111–118. https://doi.org/10.1016/j.firesaf.2015.11.011.",-1.6675659612665097,3.709078554730634,2.8195331106397044,74.14334934871515,-2.8195331106397044,0.9932814696890787,18
"Zhu, Feng, Shuangfeng Wang, and Zhanbin Lu. ""A Comparative Study of Near-Limit Flame Spread Over a Thick Solid in Space- and Ground-Based Experiments."" 0 Science and Technology, vol. 30, 2018, pp. 943–949. https://doi.org/10.1007/s12217-018-9655-0.",-97.95529330020865,3.0096533747189738,2.6605053582231863,2031.1178168923948,2.6605053582231863,10.230589345460047,44
Nishizawa et al. (2003) Effect of Low External Flow on Flame Spreading over ETFE Wire under 0,-22.488918700307725,2.5527521940888915,2.512622834456652,120.06353976401904,2.512622834456652,1.1139282301478801,12
"Bhattacharjee, Subrata, Ahmet Simsek, Frank Miller, Sandra L. Olson, and Paul V. Ferkul. ""Radiative, Thermal, and Kinetic Regimes of Opposed-Flow Flame Spread: A Comparison Between Experiment and Theory."" Proceedings of the Combustion Institute, vol. 36, no. 2, 2017, pp. 2963–2969",-4.885623315737134,1.2642592166267126,1.1490287682921128,84.03166937361512,-1.1490287682921128,0.9595895382365941,20
"Ferkul, Paul V., et al. “Combustion Experiments on the Mir Space Station.” 37th Aerospace Sciences Meeting and Exhibit, American Institute of Aeronautics and Astronautics, 1999, paper AIAA-99-0439",-18.371696253314298,0.9073572013082047,0.8835592628478517,69.42383974175986,0.8835592628478517,0.6721164454134849,4
"Konno, Yusuke, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, and Osamu Fujita. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.",0.5429815157341122,0.7785040804164141,0.5732187158043246,24.011065846219072,-0.20587218913915145,0.32957266562250936,74
