Repeat,Seed,Random stratified,Group balance score,Group target-bin distance,Train papers,Test papers,Group train y mean,Group test y mean,Group train y std,Group test y std
1,42,True,0.3826901047056674,0.10781671159029649,53,14,9.017322886989554,7.854038076152306,17.2250138536524,17.853386847441634
2,43,True,0.3794912435016917,0.12668463611859837,53,14,8.87704356060606,8.440833671399595,17.25415199213799,17.766845858661526
3,44,True,0.4141268798868546,0.12668463611859837,53,14,8.884837476099428,8.426056530214423,17.942437922336893,14.702035552091823
4,45,True,0.5065077327267693,0.12668463611859837,53,14,8.522206572769953,10.015467368421053,17.003077438589752,18.79487476175321
5,46,True,0.5290063476361324,0.12668463611859837,53,14,8.327893125940793,10.313980392156862,17.032945438420114,18.274990570697778
6,47,True,0.5629892927842968,0.17115902964959567,53,14,8.921594321462948,8.29330929791271,16.286599189082402,21.030793041888565
7,48,True,0.5264507965411018,0.10781671159029649,53,14,9.27781105081401,7.09952249134948,18.389042358042918,12.946079142332199
8,49,True,0.5647214657071057,0.1711590296495957,53,14,8.626038404726735,9.390527874564459,17.931266538165392,15.116376140647256
9,50,True,0.4118840734409,0.10781671159029649,53,14,8.61050401203611,9.39492962356792,17.704914657612274,16.137522663506257
10,51,True,0.34306634935122227,0.10781671159029649,53,14,8.83290444015444,8.645157598499061,17.967179427303407,14.72412847742832
