feature,importance
Flow Velocity (Co flow is + and counter flow is -),0.27332116195163203
Oxygen Concentration,0.17440233878175107
Material of sample_PMMA,0.07870484879569024
Gravity (g/gearth),0.07577232959729564
Internal Dimensions,0.0703721756559988
Rig Name_NASA Zero Gravity Facility,0.05974414591085662
Pressure,0.0587353185776806
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.03874611095671724
Rig Name_NASA Glenn Research Center,0.033277737535223555
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Parabolic Aircraft",0.026224382790043573
"Geometry of Sample (flat, wire, or Cylindrical)_Wire",0.012883174762466407
Material of sample_Kimwipes,0.012759269897573247
"Geometry of Sample (flat, wire, or Cylindrical)_Flat",0.011191551009305726
"Internal geometry (Cylindrical , rectangular)_Cylindrical",0.009900891053693751
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Drop Tower",0.009623914396714093
Ignition power (W),0.009451158108868332
Material of sample_Whatman 44 filter paper,0.006322674148486334
Material of sample_Polyphenolic open-cell foam,0.00564520093115619
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Ground",0.005512951468308664
"Internal geometry (Cylindrical , rectangular)_Rectangular",0.005429885914188809
Material of sample_NiCr core; LDPE outer,0.0041386480028565474
Material of sample_Cellulosic paper (Kimwipes),0.004029664701350045
Rig Name_NASA Glenn Zero Gravity Facility,0.003934901508785931
Material of sample_Polyurethane foam fuel,0.0013266398727667117
Material of sample_TENGU paper; area density 0.5 mg/cm²,0.0012915132009386917
Rig Name_NCCRD IIT Madras combustion duct,0.0012396603612417005
Rig Name_FLARE,0.0010066729142832367
"Geometry of Sample (flat, wire, or Cylindrical)_Cylindrical",0.0008856985048638344
Rig Name_GIFFTS,0.0008486085030345576
Rig Name_MGLAB,0.0007464837686780954
"Internal geometry (Cylindrical , rectangular)_Hemispherical",0.0006206911470313962
Material of sample_Cellulose acetate sheet; MIL-SPEC LP-504,0.0005710882290966736
Rig Name_BASS-II,0.0004892189604012395
"Geometry of Sample (flat, wire, or Cylindrical)_flat",0.00039500263662841024
Material of sample_Cu core; LDPE outer,0.0002728054266423582
"Ignition method (Wire, open flame, or Radiative Heater_Wire",6.35359544668267e-05
Rig Name_RITSI,3.4606579818776644e-05
Material of sample_Cu core; LDPE insulation,2.367266014634661e-05
Rig Name_JAMIC dropshaft,2.230317940729466e-05
Material of sample_SIBAL,1.2360147621664916e-05
Rig Name_NASA Narrow Channel Apparatus,1.1871923751267047e-05
Material of sample_Extruded PMMA,3.851183291621342e-06
Rig Name_0 wind tunnel / HOI test apparatus,3.7742885777825987e-06
Ignition time (s),3.156683725594142e-06
"Ignition method (Wire, open flame, or Radiative Heater_Open flame",2.2807810919183933e-06
Material of sample_Cu core; ETFE outer,6.472054048385864e-08
"Ignition method (Wire, open flame, or Radiative Heater_open flame",1.915310083332072e-09
Material of sample_Cotton,0.0
Material of sample_Cellulosic tSpacecraftue,0.0
"Geometry of Sample (flat, wire, or Cylindrical)_wire",0.0
Material of sample_Bleached cheesecloth; area density 13.14 mg/c,0.0
Material of sample_Cellulosic strand,0.0
Material of sample_Cellulosic paper,0.0
Material of sample_Cellulose acetate sheet; MIL SPEC LP-504,0.0
Material of sample_Bleached cheesecloth; area density 2.0 mg/cm²,0.0
Material of sample_Bleached cheesecloth; area density 4.38 mg/cm,0.0
Material of sample_Cast PMMA,0.0
Rig Name_JAMIC,0.0
Rig Name_Fire Research Device (FReD),0.0
Rig Name_DIAMONDS,0.0
Rig Name_External-radiation wire flammability chamber,0.0
Rig Name_DARTFire,0.0
Material of sample_TENGU paper; area density 0.2 mg/cm²,0.0
Material of sample_TENGU paper; area density 0.9 mg/cm²,0.0
Rig Name_BASS,0.0
Material of sample_TENGU paper; area density 0.2 mg/cm1,0.0
Material of sample_TENGU paper; area density 0.35 mg/cm,0.0
Material of sample_HDPE,0.0
Material of sample_Cu core; black LDPE outer,0.0
Material of sample_LDPE,0.0
Material of sample_NiCr core; LDPE insulation,0.0
Material of sample_NiCr core; ETFE outer,0.0
Material of sample_Polydimethylsiloxane (PDMS),0.0
Material of sample_High-density polyethylene (HDPE),0.0
Rig Name_Saffire III,0.0
Rig Name_Saffire II,0.0
Rig Name_Saffire I,0.0
Rig Name_SJ-10 satellite,0.0
Rig Name_NASA Glenn Research Center’s Zero Gravity Research Facility,0.0
Rig Name_NASA KC-135,0.0
Rig Name_NASA LeRC,0.0
Rig Name_Saffire IV,0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Centrifuge",0.0
Rig Name_TEXUS 57,0.0
Rig Name_Saffire V,0.0
"Ignition method (Wire, open flame, or Radiative Heater_Open Flame",0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Spacecraft",0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Sounding Rocket",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Radiative Heater",0.0
