feature,importance
Material of sample_TENGU paper; area density 0.5 mg/cm²,0.21240257
Rig Name_NASA Glenn Research Center’s Zero Gravity Research Facility,0.10049428
Internal Dimensions,0.07926801
Oxygen Concentration,0.0628838
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Drop Tower",0.056796633
"Internal geometry (Cylindrical , rectangular)_Rectangular",0.04880224
Rig Name_NASA Glenn Research Center,0.048329595
Material of sample_Cellulose acetate sheet; MIL SPEC LP-504,0.041179076
Ignition time (s),0.032248445
Material of sample_Kimwipes,0.029628757
Pressure,0.029322993
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.026337365
Flow Velocity (Co flow is + and counter flow is -),0.023055129
Material of sample_Cellulosic paper (Kimwipes),0.02146973
"Geometry of Sample (flat, wire, or Cylindrical)_Wire",0.019971473
Rig Name_MGLAB,0.01608273
"Geometry of Sample (flat, wire, or Cylindrical)_Flat",0.015749715
"Geometry of Sample (flat, wire, or Cylindrical)_flat",0.014763318
Material of sample_PMMA,0.014101304
"Internal geometry (Cylindrical , rectangular)_Hemispherical",0.013520847
Rig Name_NASA Glenn Zero Gravity Facility,0.012230871
Rig Name_NASA Zero Gravity Facility,0.010705771
"Internal geometry (Cylindrical , rectangular)_Cylindrical",0.010657667
Material of sample_Polyurethane foam fuel,0.009893874
Material of sample_Cellulose acetate sheet; MIL-SPEC LP-504,0.008863159
Material of sample_Whatman 44 filter paper,0.008046589
Ignition power (W),0.0057316325
Gravity (g/gearth),0.0050553367
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Ground",0.0048994194
Material of sample_Polyphenolic open-cell foam,0.004888861
Rig Name_GIFFTS,0.0037945411
Material of sample_Cu core; LDPE outer,0.0034657156
"Geometry of Sample (flat, wire, or Cylindrical)_Cylindrical",0.0014992143
Rig Name_NASA Narrow Channel Apparatus,0.0013659728
Rig Name_NASA KC-135,0.0013318122
Material of sample_NiCr core; LDPE outer,0.0006782396
Rig Name_RITSI,0.00048332702
"Geometry of Sample (flat, wire, or Cylindrical)_wire",0.0
Material of sample_Bleached cheesecloth; area density 13.14 mg/c,0.0
Material of sample_Bleached cheesecloth; area density 4.38 mg/cm,0.0
Material of sample_Cast PMMA,0.0
Material of sample_Cu core; ETFE outer,0.0
Material of sample_Cotton,0.0
Material of sample_Cellulosic tSpacecraftue,0.0
Material of sample_Cellulosic strand,0.0
Material of sample_Cellulosic paper,0.0
Material of sample_Bleached cheesecloth; area density 2.0 mg/cm²,0.0
Material of sample_NiCr core; LDPE insulation,0.0
Material of sample_Polydimethylsiloxane (PDMS),0.0
Material of sample_SIBAL,0.0
Material of sample_LDPE,0.0
Material of sample_HDPE,0.0
Material of sample_Extruded PMMA,0.0
Material of sample_NiCr core; ETFE outer,0.0
Material of sample_High-density polyethylene (HDPE),0.0
Material of sample_Cu core; black LDPE outer,0.0
Material of sample_Cu core; LDPE insulation,0.0
Rig Name_JAMIC,0.0
Rig Name_Fire Research Device (FReD),0.0
Rig Name_FLARE,0.0
Rig Name_External-radiation wire flammability chamber,0.0
Rig Name_DARTFire,0.0
Rig Name_DIAMONDS,0.0
Rig Name_BASS-II,0.0
Rig Name_BASS,0.0
Material of sample_TENGU paper; area density 0.2 mg/cm1,0.0
Rig Name_0 wind tunnel / HOI test apparatus,0.0
Material of sample_TENGU paper; area density 0.9 mg/cm²,0.0
Material of sample_TENGU paper; area density 0.35 mg/cm,0.0
Material of sample_TENGU paper; area density 0.2 mg/cm²,0.0
Rig Name_NASA LeRC,0.0
Rig Name_NCCRD IIT Madras combustion duct,0.0
Rig Name_JAMIC dropshaft,0.0
Rig Name_Saffire IV,0.0
Rig Name_Saffire III,0.0
Rig Name_Saffire II,0.0
Rig Name_Saffire I,0.0
Rig Name_SJ-10 satellite,0.0
Rig Name_TEXUS 57,0.0
Rig Name_Saffire V,0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Centrifuge",0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Parabolic Aircraft",0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Sounding Rocket",0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Spacecraft",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Open Flame",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Open flame",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Radiative Heater",0.0
"Ignition method (Wire, open flame, or Radiative Heater_Wire",0.0
"Ignition method (Wire, open flame, or Radiative Heater_open flame",0.0
