Model,Validation Strategy,R2,RMSE,MAE,MAPE,NRMSE,MBE
MLP,Group-Aware (RD),0.5675,10.4734,5.2056,186.6701,1.8157,2.3303
MLP,Group-Aware (RD+BT),0.2944,13.3784,6.1724,227.0737,2.3193,3.025
MLP,Random Split (RD),0.7046,11.6282,3.5426,175.9428,1.2502,-1.322
MLP,Random Split (RD+BT),0.5789,13.8831,4.2954,251.5621,1.4926,-0.6149
KNN,Group-Aware (RD),0.5188,11.0481,5.6217,216.0707,1.9153,2.169
KNN,Group-Aware (RD+BT),0.5241,10.9863,5.6186,212.9023,1.9046,2.2314
KNN,Random Split (RD),0.8481,8.3367,3.0008,149.6726,0.8963,-0.339
KNN,Random Split (RD+BT),0.8519,8.2321,2.9554,129.379,0.885,-0.2639
Decision Tree,Group-Aware (RD),0.3459,12.8808,5.9965,222.858,2.233,2.1712
Decision Tree,Group-Aware (RD+BT),-0.0055,15.9701,7.4771,275.6823,2.7686,0.7285
Decision Tree,Random Split (RD),0.802,9.5186,3.89,270.3891,1.0234,-0.3956
Decision Tree,Random Split (RD+BT),0.7389,10.9313,4.2077,623.644,1.1753,-0.6528
XGBoost,Group-Aware (RD),0.2936,13.3852,6.1235,212.9916,2.3205,1.8365
XGBoost,Group-Aware (RD+BT),0.3594,12.7467,5.933,216.9059,2.2098,1.6509
XGBoost,Random Split (RD),0.7289,11.1384,4.1944,526.6552,1.1975,-0.5104
XGBoost,Random Split (RD+BT),0.7641,10.39,4.0485,511.7488,1.117,-0.327
