paper,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
"Ferkul, Paul V. 'An Experimental Study of Opposed Flow Diffusion Flame Extinction Over a Thin Fuel in 0.' NASA CR-182185 (1989).",-574.8268736774047,52.20852890401531,52.163175675675674,1628.7614829350027,52.163175675675674,12.695083016173934,8
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.",-0.8313168595017348,47.660942421714154,36.31137254901963,54.32473378876773,-32.11176470588235,0.8217403865812785,30
"Kimzey, John Howard. ""Flammability During Weightlessness."" NASA Technical Memorandum NASA TM X-58001, May 1966.",-11.856521868852145,28.157240019545696,25.02926671996954,569.5949392017941,25.02926671996954,3.034359735424345,15
"Takahashi, Shuhei, et al. 'Effect of Ambient Gas on Flame Spread over a Solid Material in 0.' J. Jpn. Soc. 0 Appl. 24.3 (2007): 225–230.",-17.838123850609687,9.214398207740583,8.968214081685897,672.7894457088888,8.966495611453599,3.1462657000364427,122
"Ries, Eigenbrod, and Meyer, Proc. Combust. Inst. 40 (2024) 105358",-252.57993559983163,8.555616304871526,8.538729977116708,437.4680163335894,8.538729977116708,4.00533965239766,38
"Fujita, Osamu, Masao Kikuchi, Kenichi Ito, and Katsuhiro Nishizawa. ""Effective mechanisms to determine flame spread rate over ethylene-tetrafluoroethylene wire insulation: discussion on dilution gas effect based on temperature measurements."" Proceedings of the Combustion Institute 28.2 (2000): 2905-2911.",,6.608770622687256,6.310150671146291,,6.310150671146291,,15
"Bhattacharjee, Subrata, Matthew Laue, Luca Carmignani, Paul Ferkul, and Sandra Olson. ""Opposed-Flow Flame Spread: A Comparison of 0 and Normal Gravity Experiments to Establish the Thermal Regime."" Fire Safety Journal, vol. 79, 2016, pp. 111–118. https://doi.org/10.1016/j.firesaf.2015.11.011.",-2.8887873841995293,4.478310098023593,3.757721534977703,103.95711955571308,0.9371052956614633,1.1992810787311015,18
"Ma, Yuxuan, et al. ""Near-limit downward/opposed flame spread, flame front oscillation and limiting oxygen concentration of B-LDPE tube in normal-and hypergravity."" Fire Safety Journal 152 (2025): 104329.",-3.5766023435079486,1.6517783867476554,1.4602106721177335,94.09728912710858,-1.4602106721177335,1.0835112934701998,47
"Konno, Yusuke, et al. ""Application of ISO 4589-4 to determine limiting oxygen concentrations for opposed-flow flame spread over thin electric wires and their comparison with 0 data."" Fire Safety Journal 141 (2023): 103989.",-1.002929014266741,1.16802593259446,0.9230984974549004,51.22694228300808,0.8519665530104557,0.4717311296973839,96
"Ma, Yuxuan, Fangsi Ren, Taro Takemata, Shinji Nakaya, and Mitsuhiro Tsue. ""Near-Limit Downward/Opposed Flame Spread, Flame Front Oscillation and Limiting Oxygen Concentration of B-LDPE Tube in Normal- and Hypergravity."" Fire Safety Journal, vol. 152, 2025, article 104329. https://doi.org/10.1016/j.firesaf.2024.104329.",-1.0935409727700236,1.129386759556187,0.9017308610536368,128.2452273548845,0.8162430367658763,0.775424529606927,61
"Ferkul, Paul V., et al. “Combustion Experiments on the Mir Space Station.” 37th Aerospace Sciences Meeting and Exhibit, American Institute of Aeronautics and Astronautics, 1999, paper AIAA-99-0439",-24.959501811520457,1.0503708045207747,1.0299411764705884,75.722810828877,-1.0299411764705884,0.7780524477931664,4
"Olson, Sandra L., et al. “Flame Spread: Effects of 0 and Scale.” Combustion and Flame, vol. 212, 2020, pp. 472–483.",-0.05386244550419006,1.0355067609712714,0.6828916083916085,39.815996058192546,-0.23410139860139878,0.5855583791638086,22
"Sánchez-Tarifa, C., and B. Lázaro. 'Experiments Conducted on Combustion at 0 in the TEXUS-38 Sounding Rocket.' First International Symposium on 0 (2000).",-15.681005840292794,0.5938881944332206,0.46891232492997165,64.08721789452463,-0.006993557422969587,0.9053173695628363,5
"Bhattacharjee, Subrata, Ahmet Simsek, Frank Miller, Sandra L. Olson, and Paul V. Ferkul. ""Radiative, Thermal, and Kinetic Regimes of Opposed-Flow Flame Spread: A Comparison Between Experiment and Theory."" Proceedings of the Combustion Institute, vol. 36, no. 2, 2017, pp. 2963–2969",-0.17308904446401474,0.5644238880874789,0.47779230769230774,60.84546971166095,0.21680769230769217,0.42840522814988913,20
