paper,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.",-0.24470107079990577,39.29283914684969,32.3084131831913,66.9809561549757,-17.894844953021444,0.6774627439112015,30
"Takahashi, Shuhei, et al. 'Effect of Ambient Gas on Flame Spread over a Solid Material in 0.' J. Jpn. Soc. 0 Appl. 24.3 (2007): 225–230.",-18.071719067152074,9.271352068478603,8.52879002754595,492.8843550340146,8.52879002754595,3.16571265408431,122
"Bhattacharjee, Subrata, Matthew Laue, Luca Carmignani, Paul Ferkul, and Sandra Olson. ""Opposed-Flow Flame Spread: A Comparison of 0 and Normal Gravity Experiments to Establish the Thermal Regime."" Fire Safety Journal, vol. 79, 2016, pp. 111–118. https://doi.org/10.1016/j.firesaf.2015.11.011.",-12.211632183017175,8.254396004495096,6.799383276880557,176.43487410325193,2.4825086556836284,2.2105081443362833,18
"Kimzey, John Howard. ""Flammability During Weightlessness."" NASA Technical Memorandum NASA TM X-58001, May 1966.",0.17088965333653194,7.150468600101811,5.114060212125425,71.33565774939069,4.031635458214709,0.7705689192017297,15
"Fujita, Osamu, Masao Kikuchi, Kenichi Ito, and Katsuhiro Nishizawa. ""Effective mechanisms to determine flame spread rate over ethylene-tetrafluoroethylene wire insulation: discussion on dilution gas effect based on temperature measurements."" Proceedings of the Combustion Institute 28.2 (2000): 2905-2911.",,5.790509407992098,5.7464029242072,,5.7464029242072,,15
"Ries, Eigenbrod, and Meyer, Proc. Combust. Inst. 40 (2024) 105358",-110.14793193284756,5.664277855324801,5.175144798545869,252.59732291473438,5.143736169332587,2.6517501355469073,38
"Ferkul, Paul V. 'An Experimental Study of Opposed Flow Diffusion Flame Extinction Over a Thin Fuel in 0.' NASA CR-182185 (1989).",-0.6016936449273935,2.753500867449115,2.5437584009973415,90.3250814462416,1.8664803699878567,0.6695442838782042,8
"Ma, Yuxuan, Fangsi Ren, Taro Takemata, Shinji Nakaya, and Mitsuhiro Tsue. ""Near-Limit Downward/Opposed Flame Spread, Flame Front Oscillation and Limiting Oxygen Concentration of B-LDPE Tube in Normal- and Hypergravity."" Fire Safety Journal, vol. 152, 2025, article 104329. https://doi.org/10.1016/j.firesaf.2024.104329.",-6.818570163431187,2.1825571698420205,2.0457209999455954,245.385218131403,2.0457209999455954,1.4985197519316031,61
"Ma, Yuxuan, et al. ""Near-limit downward/opposed flame spread, flame front oscillation and limiting oxygen concentration of B-LDPE tube in normal-and hypergravity."" Fire Safety Journal 152 (2025): 104329.",-4.719242261987623,1.846500529182368,1.7061274764734997,160.52030025860725,1.7061274764734997,1.2112424964629631,47
"Bhattacharjee, Subrata, Ahmet Simsek, Frank Miller, Sandra L. Olson, and Paul V. Ferkul. ""Radiative, Thermal, and Kinetic Regimes of Opposed-Flow Flame Spread: A Comparison Between Experiment and Theory."" Proceedings of the Combustion Institute, vol. 36, no. 2, 2017, pp. 2963–2969",-5.848502179436754,1.363759207573652,1.260518804326757,94.5743729485746,-1.260518804326757,1.0351113529970795,20
"Ferkul, Paul V., et al. “Combustion Experiments on the Mir Space Station.” 37th Aerospace Sciences Meeting and Exhibit, American Institute of Aeronautics and Astronautics, 1999, paper AIAA-99-0439",-39.51119249812068,1.3121454497006533,1.295848553344204,95.89242999916544,-1.295848553344204,0.9719595923708542,4
"Olson, Sandra L., et al. “Flame Spread: Effects of 0 and Scale.” Combustion and Flame, vol. 212, 2020, pp. 472–483.",-0.29616093381504727,1.148392740160712,0.7146826079277911,34.15794654997651,-0.5365978140799399,0.6493931444168016,22
"Konno, Yusuke, et al. ""Application of ISO 4589-4 to determine limiting oxygen concentrations for opposed-flow flame spread over thin electric wires and their comparison with 0 data."" Fire Safety Journal 141 (2023): 103989.",0.2846561921687628,0.6980348686901964,0.5440439341181341,26.52234878247331,0.18091983980692247,0.28191563901665484,96
"Sánchez-Tarifa, C., and B. Lázaro. 'Experiments Conducted on Combustion at 0 in the TEXUS-38 Sounding Rocket.' First International Symposium on 0 (2000).",-2.281897613803586,0.26342445434367523,0.22055414894636716,43.25356050310913,0.22055414894636716,0.401561668206822,5
