paper,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.",-0.03280372285983324,35.792313949161446,32.32533707147257,88.8093828515237,-4.470832883603288,0.6171088611924387,30
"Kimzey, John Howard. ""Flammability During Weightlessness."" NASA Technical Memorandum NASA TM X-58001, May 1966.",-6.060991813351229,20.867056426822415,19.517051184805755,395.767839119054,19.517051184805755,2.2487344560200024,15
"Olson, Sandra L., et al. “Flame Spread: Effects of 0 and Scale.” Combustion and Flame, vol. 212, 2020, pp. 472–483.",-181.81214821756325,13.638402412116829,6.592697566384101,483.9094015773778,6.0488095681686245,7.7122440063377535,22
"Ries, Eigenbrod, and Meyer, Proc. Combust. Inst. 40 (2024) 105358",-116.39985305259921,5.8214025597025,5.730432912433517,275.52919147320324,5.730432912433517,2.7253085779068007,38
"Takahashi, Shuhei, et al. 'Effect of Ambient Gas on Flame Spread over a Solid Material in 0.' J. Jpn. Soc. 0 Appl. 24.3 (2007): 225–230.",-5.243936218259351,5.304902201167106,4.694858945535036,276.9314456983595,4.666968077591192,1.8113642867701196,122
"Bhattacharjee, Subrata, Matthew Laue, Luca Carmignani, Paul Ferkul, and Sandra Olson. ""Opposed-Flow Flame Spread: A Comparison of 0 and Normal Gravity Experiments to Establish the Thermal Regime."" Fire Safety Journal, vol. 79, 2016, pp. 111–118. https://doi.org/10.1016/j.firesaf.2015.11.011.",-3.2888798423352767,4.703043576565518,3.980204416063619,137.6170187474119,-3.980204416063619,1.259464184115362,18
"Fujita, Osamu, Masao Kikuchi, Kenichi Ito, and Katsuhiro Nishizawa. ""Effective mechanisms to determine flame spread rate over ethylene-tetrafluoroethylene wire insulation: discussion on dilution gas effect based on temperature measurements."" Proceedings of the Combustion Institute 28.2 (2000): 2905-2911.",,4.127485042857647,4.0285075075397865,,4.0285075075397865,,15
"Bhattacharjee, Subrata, Ahmet Simsek, Frank Miller, Sandra L. Olson, and Paul V. Ferkul. ""Radiative, Thermal, and Kinetic Regimes of Opposed-Flow Flame Spread: A Comparison Between Experiment and Theory."" Proceedings of the Combustion Institute, vol. 36, no. 2, 2017, pp. 2963–2969",-21.868278435620933,2.4920493152049645,2.4335533764246113,209.86107856044885,-2.4335533764246113,1.891498531464869,20
"Ma, Yuxuan, Fangsi Ren, Taro Takemata, Shinji Nakaya, and Mitsuhiro Tsue. ""Near-Limit Downward/Opposed Flame Spread, Flame Front Oscillation and Limiting Oxygen Concentration of B-LDPE Tube in Normal- and Hypergravity."" Fire Safety Journal, vol. 152, 2025, article 104329. https://doi.org/10.1016/j.firesaf.2024.104329.",-4.636330931629178,1.8531057416604166,1.539912959684502,187.1676358225092,1.539912959684502,1.2723220242139168,61
"Ma, Yuxuan, et al. ""Near-limit downward/opposed flame spread, flame front oscillation and limiting oxygen concentration of B-LDPE tube in normal-and hypergravity."" Fire Safety Journal 152 (2025): 104329.",-3.5459789813706646,1.646242849185875,1.4332154986074408,133.64437532623037,1.430320257036879,1.0798801662489341,47
"Ferkul, Paul V. 'An Experimental Study of Opposed Flow Diffusion Flame Extinction Over a Thin Fuel in 0.' NASA CR-182185 (1989).",0.6492974042733488,1.2884423212703209,1.0744268542560917,30.238583994081363,0.0035481697982784888,0.3132990446857923,8
"Konno, Yusuke, et al. ""Application of ISO 4589-4 to determine limiting oxygen concentrations for opposed-flow flame spread over thin electric wires and their comparison with 0 data."" Fire Safety Journal 141 (2023): 103989.",0.263329486036461,0.7083637849206609,0.5831005380989048,23.556160825291617,-0.14229618209686323,0.28608718280346424,96
"Ferkul, Paul V., et al. “Combustion Experiments on the Mir Space Station.” 37th Aerospace Sciences Meeting and Exhibit, American Institute of Aeronautics and Astronautics, 1999, paper AIAA-99-0439",-6.573243888414402,0.5673295913819516,0.5235000453356362,42.24785661194176,0.5235000453356362,0.42024414176440855,4
"Sánchez-Tarifa, C., and B. Lázaro. 'Experiments Conducted on Combustion at 0 in the TEXUS-38 Sounding Rocket.' First International Symposium on 0 (2000).",-2.3103430888584175,0.26456359211127745,0.24336829408193394,34.79816543804778,-0.21991001536645988,0.4032981587062156,5
