feature,importance_mean,importance_std
Oxygen Concentration,5.80419329448798,0.32469546271412175
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.7835736786487544,0.19604434342001045
Internal Dimensions,0.38547901253481937,0.09891078013160107
Material of sample,0.14421348129561143,0.03406303284752141
Flow Velocity (Co flow is + and counter flow is -),0.10004074642263205,0.03087861435842296
"Internal geometry (Cylindrical , rectangular)",0.0981053371123977,0.013880695212160071
Gravity (g/gearth),0.0514957471920706,0.2054008418718863
Ignition time (s),0.05102921291048492,0.014388269886520992
"Geometry of Sample (flat, wire, or Cylindrical)",0.03706449355952675,0.010107581720934749
Ignition power (W),0.0,0.0
"Ignition method (Wire, open flame, or Radiative Heater",0.0,0.0
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)",-0.19442273165909524,0.047021594345405815
Pressure,-0.3033322381944853,0.05260754562216772
Rig Name,-0.4880674228708754,0.10057363972312429
