method,seed,fold,n_test,n_test_papers,roc_auc,pr_auc,mcc,f1,balanced_accuracy,youden_j_balacc,thr_mcc,thr_f1,thr_balacc,thr_youden
XGBoost,0,0,874,81,0.8853048581901839,0.962026618606194,0.45565359442952913,0.8649006622516556,0.7558120197071643,0.7558120197071643,0.9339455366134644,0.047716572880744934,0.9339455366134644,0.9339455366134644
XGBoost,1,0,874,79,0.8897569865500681,0.9627565066226522,0.47063860439164273,0.8563934426229508,0.7674014122081864,0.7674014122081864,0.8867517113685608,0.007128765806555748,0.8867517113685608,0.8867517113685608
XGBoost,2,0,874,82,0.8942368324405978,0.9654926797143775,0.480799659054785,0.8558322411533421,0.7726573489567814,0.7726573489567814,0.897284984588623,0.01078224740922451,0.897284984588623,0.897284984588623
XGBoost,3,0,874,76,0.9095854150353745,0.9695742112824873,0.5170000697311935,0.8575180564674983,0.7880405784648645,0.7880405784648645,0.8585650324821472,0.01575767807662487,0.8724721670150757,0.8724721670150757
XGBoost,4,0,874,80,0.901301338063792,0.9674103984527757,0.5201585338373681,0.8586456278763971,0.7979253428312072,0.7979253428312072,0.8466305136680603,0.021080659702420235,0.8466305136680603,0.8466305136680603
KNN,0,0,874,81,0.7659497065406442,0.8954334064940794,0.37881918126840214,0.8441471571906355,0.7027572013609308,0.7027572013609308,0.6367731734247046,0.07196032690968336,0.6367731734247046,0.6367731734247046
KNN,1,0,874,79,0.7799470595164677,0.910614272634851,0.35421732296084857,0.840620592383639,0.7323837769293133,0.7323837769293133,0.5773608627405421,0.3193214863207952,0.8477396540145461,0.8477396540145461
KNN,2,0,874,82,0.7757201360930754,0.9011208127394478,0.3698943433596557,0.8473389355742297,0.7115713761061027,0.7115713761061027,0.9226275259672095,0.3200156053769861,0.9226275259672095,0.9226275259672095
KNN,3,0,874,76,0.7486331792700588,0.8803265996029516,0.35667070099279635,0.8502673796791443,0.7050265741825061,0.7050265741825061,0.9139276539884572,0.11513728002973472,0.9139276539884572,0.9139276539884572
KNN,4,0,874,80,0.7933727384227338,0.9105615310329406,0.4174478502893889,0.8528784648187633,0.7383672988573449,0.7383672988573449,0.633835844873089,0.36988882776589044,0.7468999164125798,0.7468999164125798
Decision Tree,0,0,874,81,0.8121929417308211,0.9185813265689589,0.3110868262508759,0.8552717747216765,0.6988005238613292,0.6988005238613292,0.20670719567665577,0.0,0.8352354646608302,0.8352354646608302
Decision Tree,1,0,874,79,0.8220534532578493,0.9113185769287555,0.33925859681083065,0.8552717747216765,0.7731042941384352,0.7731042941384352,0.17255820119470533,0.0,0.6569776387790393,0.6569776387790393
Decision Tree,2,0,874,82,0.7892636145045838,0.9001643812025998,0.2047504947511902,0.8552717747216765,0.5525940143992571,0.5525940143992571,0.20572315463414848,0.0,0.20572315463414848,0.20572315463414848
Decision Tree,3,0,874,76,0.7957910929715272,0.8998532975080222,0.3308241365478073,0.8552717747216765,0.6299016720600361,0.6299016720600361,0.2056566369959648,0.0,0.2587085811384877,0.2587085811384877
Decision Tree,4,0,874,80,0.8185437209399014,0.9211589209391636,0.4414795733116656,0.8552717747216765,0.7426115457373903,0.7426115457373903,0.3163503351087993,0.0,0.3163503351087993,0.3163503351087993
MLP,0,0,874,81,0.8609030371484205,0.9531984329707475,0.5189537030051695,0.8552717747216765,0.7983757527041916,0.7983757527041916,0.8394364714622498,1.5364039772862865e-20,0.8394364714622498,0.8394364714622498
MLP,1,0,874,79,0.8501694234060688,0.9504603271924857,0.4919205210862893,0.8552717747216765,0.780348963710823,0.780348963710823,0.9093469977378845,4.537982022156939e-05,0.9093469977378845,0.9093469977378845
MLP,2,0,874,82,0.8727280286599266,0.9571174653858748,0.47012010985243974,0.8552717747216765,0.7666010685108063,0.7666010685108063,0.9690714478492737,2.9235728421506124e-13,0.9690714478492737,0.9690714478492737
MLP,3,0,874,76,0.7864191029221207,0.9176953921538739,0.05591464780266421,0.8552717747216765,0.5061255742725881,0.5061255742725881,0.9981513619422913,0.08592936396598816,0.998141884803772,0.998141884803772
MLP,4,0,874,80,0.8771524394891659,0.9604078491317716,0.38791627330583933,0.8552717747216765,0.7497210923478828,0.7497210923478828,0.9938516616821289,1.5675045972329826e-07,0.9786554574966431,0.9786554574966431
SVM (RBF),0,0,874,81,0.8273856132157186,0.9393444917358555,0.42404988634333873,0.8590250329380764,0.7530957017039352,0.7530957017039352,0.7944892198429065,0.1758994827847764,0.7523676924486336,0.7523676924486336
SVM (RBF),1,0,874,79,0.8265644813703548,0.9385426236296502,0.42333691036315946,0.8560157790927022,0.7409484938986786,0.7409484938986786,0.7404705095405583,0.18075477999648581,0.7404705095405583,0.7404705095405583
SVM (RBF),2,0,874,82,0.8446605641903362,0.9456120160640155,0.46065811059383155,0.8563899868247694,0.7648583287714897,0.7648583287714897,0.65225758223563,0.2025996185177462,0.65225758223563,0.65225758223563
SVM (RBF),3,0,874,76,0.8324579213237893,0.9423255525727989,0.4407453156684078,0.8594059405940594,0.7426184751200515,0.7426184751200515,0.7945116207993571,0.21526597431399885,0.7649575001075588,0.7649575001075588
SVM (RBF),4,0,874,80,0.8374228240006097,0.9445736945573765,0.44463349214922554,0.857331571994716,0.7489553955638093,0.7489553955638093,0.8209876702630227,0.208780355328412,0.8209876702630227,0.8209876702630227
