method,seed,fold,n_test,n_test_papers,roc_auc,pr_auc,mcc,f1,balanced_accuracy,youden_j_balacc,thr_mcc,thr_f1,thr_balacc,thr_youden
XGBoost,0,0,874,80,0.8936582289883793,0.963920002691296,0.4759682684225099,0.8603425559947299,0.7688981588630268,0.7688981588630268,0.9115275740623474,0.031132644042372704,0.9150317907333374,0.9150317907333374
XGBoost,0,1,873,79,0.8979604622024224,0.9668853690759925,0.3904828512257099,0.8682274247491639,0.7082695252679939,0.7082695252679939,0.9625536799430847,0.05221784859895706,0.9625536799430847,0.9625536799430847
XGBoost,0,2,873,80,0.9104378393428929,0.9699954276503671,0.5290893519287952,0.8569553805774278,0.7925692607545594,0.7925692607545594,0.840260922908783,0.013569940812885761,0.8622021675109863,0.8622021675109863
XGBoost,0,3,873,81,0.890748990672421,0.9635539079157435,0.5061293519409531,0.8603425559947299,0.7711053877210079,0.7711053877210079,0.8703663349151611,0.023982569575309753,0.8943114280700684,0.8943114280700684
XGBoost,0,4,873,83,0.8984676456708214,0.9668120809520776,0.5267512053031085,0.8573307034845496,0.8022999194958775,0.8022999194958775,0.8500880599021912,0.02821788750588894,0.8500880599021912,0.8500880599021912
KNN,0,0,874,80,0.7696742497210924,0.8960875242660074,0.3933575075464913,0.8441471571906355,0.7175514333428035,0.7175514333428035,0.7229847699364048,0.12099177782443979,0.7229847699364048,0.7229847699364048
KNN,0,1,873,79,0.7766044828066266,0.909632768404065,0.4016643648785701,0.8486886348352387,0.7312787136294028,0.7312787136294028,0.8419704366599512,0.11756271201343114,0.8419704366599512,0.8419704366599512
KNN,0,2,873,80,0.790961297508005,0.9011658220698834,0.4273304208485002,0.8558322411533421,0.7431052485034109,0.7431052485034109,0.7790754581358136,0.0,0.7790754581358136,0.7790754581358136
KNN,0,3,873,81,0.7537832382013087,0.8831673557732903,0.4004012928059573,0.84472049689441,0.7304642906863428,0.7304642906863428,0.8836697570821839,0.2564258194614894,0.8836697570821839,0.8836697570821839
KNN,0,4,873,83,0.7752893984398856,0.9020090921644656,0.3997337428085814,0.8411214953271028,0.7298253893345918,0.7298253893345918,0.8804821235423824,0.07890917218029293,0.8804821235423824,0.8804821235423824
Decision Tree,0,0,874,80,0.8184155273606675,0.91356349073572,0.4540449486757722,0.8552717747216765,0.7610991386777353,0.7610991386777353,0.7465432359100082,0.0,0.7465432359100082,0.7465432359100082
Decision Tree,0,1,873,79,0.8050640400946679,0.9094849941129766,0.2650976540165179,0.8558322411533421,0.753435194208548,0.753435194208548,0.14183209758430998,0.0,0.6992194590669812,0.6992194590669812
Decision Tree,0,2,873,80,0.8344772379228735,0.9250990529627655,0.41487799664979497,0.8558322411533421,0.7388382291521649,0.7388382291521649,0.8119817538880669,0.0,0.8119817538880669,0.8119817538880669
Decision Tree,0,3,873,81,0.8031602394542671,0.9141674004414155,0.33284405600807676,0.865010073875084,0.6276973409438953,0.6276973409438953,0.25133330092820033,0.08723006678804944,0.25133330092820033,0.25133330092820033
Decision Tree,0,4,873,83,0.8206527773922216,0.9139815793417669,0.5267741992152049,0.8550819672131148,0.7965813508036532,0.7965813508036532,0.4253223876400815,0.0,0.5105976323835726,0.5105976323835726
MLP,0,0,874,80,0.8868085342276856,0.9576066526496065,0.6028248743708686,0.8552717747216765,0.8181106345235702,0.8181106345235702,0.8002945780754089,4.4764737164477986e-13,0.8842961192131042,0.8842961192131042
MLP,0,1,873,79,0.8500034804399276,0.9507061396194112,0.1445785713805633,0.8558322411533421,0.6807044410413476,0.6807044410413476,0.9999809265136719,6.828652565822081e-15,0.9925097227096558,0.9925097227096558
MLP,0,2,873,80,0.8849262146735347,0.954974860321274,0.5438774369543989,0.8558322411533421,0.8104239175831824,0.8104239175831824,0.8898938298225403,7.392978805112462e-29,0.9054260849952698,0.9054260849952698
MLP,0,3,873,81,0.8220416260615342,0.9386538529986004,0.41193726778458223,0.8558322411533421,0.7275093971878045,0.7275093971878045,0.9246845841407776,0.0,0.9246845841407776,0.9246845841407776
MLP,0,4,873,83,0.857455653332593,0.952353273531693,0.302935690231794,0.8550819672131148,0.6426380368098159,0.6426380368098159,0.9988833069801331,0.00017539836699143052,0.9988833069801331,0.9988833069801331
SVM (RBF),0,0,874,80,0.8088668380533977,0.929175155372477,0.42873977932621915,0.8489208633093526,0.7318987201430225,0.7318987201430225,0.5228683323992556,0.48391185805711673,0.5976535723053401,0.5976535723053401
SVM (RBF),0,1,873,79,0.7878671864123624,0.9213110880450663,0.4366733460316727,0.8428044280442805,0.7508701099819017,0.7508701099819017,0.5686409751418281,0.496422684483085,0.5686409751418281,0.5686409751418281
SVM (RBF),0,2,873,80,0.8110782402895726,0.9276043313927498,0.30299414686400683,0.8271134805788272,0.7555130168453292,0.7555130168453292,0.49230252583836426,0.49230252583836426,0.5696532674991762,0.5696532674991762
SVM (RBF),0,3,873,81,0.8078831964360296,0.9292800211431917,0.41711957287539086,0.8550819672131148,0.7369413893916191,0.7369413893916191,0.5822405380458124,0.40137124958538867,0.5822405380458124,0.5822405380458124
SVM (RBF),0,4,873,83,0.83033409210782,0.9427949978506399,0.15989653145023622,0.8550819672131148,0.5584036587735614,0.5584036587735614,0.4802157460095932,0.36596707417884017,0.4949808832467569,0.4949808832467569
