method,paper_id,paper_label,n_rows,ignition_rate,auc
XGBoost,https://ntrs.nasa.gov/citations/19700016396,Andracchio 1992 [/19700016396],10,1.0,
XGBoost,nasa tm x-3055,Andracchio 1974 [sa tm x-3055],18,1.0,
XGBoost,nasa tn d-8228,Andracchio 1976 [sa tn d-8228],43,0.9302325581395349,0.7374999999999999
XGBoost,10.1080/01457632.2025.2529751,Basavanahalli Vrus 2025 [2025.2529751],8,1.0,
XGBoost,10.1016/j.proci.2016.06.025,Bhattacharjee 2017 [.2016.06.025],20,1.0,
XGBoost,10.1016/s0010-2180(02)00501-1,Bhattacharjee 2003 [0(02)00501-1],18,0.3888888888888889,0.7077922077922078
XGBoost,10.1016/j.firesaf.2015.11.011,Bhattacharjee 2016 [.2015.11.011],22,0.6818181818181818,0.7904761904761906
XGBoost,10.1016/j.actaastro.2017.10.019,Bolodyan 2018 [.2017.10.019],20,1.0,
XGBoost,10.1016/j.actaastro.2019.01.044,Bolodyan 2019 [.2019.01.044],32,0.75,0.5546875
XGBoost,10.1016/j.combustflame.2020.12.005,Carney 2021 [.2020.12.005],5,0.6,0.6666666666666666
XGBoost,10.5802/crmeca.149,Coimbra 2023 [2/crmeca.149],20,1.0,
XGBoost,10.1016/s1540-7489(02)80211-3,Feier 2002 [9(02)80211-3],39,0.41025641025641024,0.6032608695652174
XGBoost,article::ferkul paul v an experimental study of opposed flow diffusion flame extinction over a thin fuel in 0 nasa cr 182185 1989,Ferkul 1989 [ 182185 1989],13,0.7692307692307693,0.9333333333333333
XGBoost,aiaa-99-0439,Ferkul 1999 [aiaa-99-0439],4,1.0,
XGBoost,10.1016/s0082-0784(00)80697-9,Fujita et al 2000 [4(00)80697-9],8,1.0,
XGBoost,10.1016/s1540-7489(02)80310-8,Fujita 2002 [9(02)80310-8],21,1.0,
XGBoost,10.1016/s0082-0784(00)80715-8,Fujita 2000 [4(00)80715-8],10,1.0,
XGBoost,article::grayson g d k r sacksteder p v ferkul and j s t ien flame spreading over a thin solid in low speed concurrent flow drop tower experimental results and comparison with theory 0 science and technology vii 2 1994,Grayson 1994 [y vii 2 1994],26,0.7307692307692307,0.8909774436090225
XGBoost,10.1016/j.combustflame.2020.09.003,Guibaud 2020 [.2020.09.003],6,1.0,
XGBoost,10.1016/j.combustflame.2020.07.044,Guibaud 2020 [.2020.07.044],91,1.0,
XGBoost,10.1016/j.combustflame.2020.08.038,Guibaud 2020 [.2020.08.038],9,1.0,
XGBoost,10.1016/j.proci.2018.06.022,Huang 2019 [.2018.06.022],83,0.9397590361445783,0.9358974358974359
XGBoost,10.1016/s0082-0784(98)80017-6,Kikuchi et al 1998 [4(98)80017-6],30,1.0,
XGBoost,nasa tm x-58001,Kimzey 1966 [a tm x-58001],15,0.7333333333333333,0.8295454545454545
XGBoost,10.1016/j.combustflame.2008.05.023,Kleinhenz 2008 [.2008.05.023],32,1.0,
XGBoost,10.1007/s10694-019-00862-4,Kobayashi 2020 [-019-00862-4],28,0.32142857142857145,0.9181286549707602
XGBoost,10.1016/j.firesaf.2023.103989,Konno 2023 [.2023.103989],398,0.6859296482412061,0.5975824175824176
XGBoost,10.1016/j.proci.2024.105199,Konno 2024 [.2024.105199],38,0.6842105263157895,0.6858974358974359
XGBoost,10.1007/s10694-019-00935-4,Konno 2020 [-019-00935-4],72,0.6388888888888888,0.6204013377926421
XGBoost,10.1016/j.proci.2022.07.002,Konno 2023 [.2022.07.002],245,0.6693877551020408,0.8735320686540199
XGBoost,10.1016/j.proci.2024.105775,Kumar 2024 [.2024.105775],60,1.0,
XGBoost,10.1007/s12217-024-10147-3,Kumar 2024 [-024-10147-3],34,1.0,
XGBoost,10.1016/j.proci.2022.08.030,Li 2023 [.2022.08.030],20,0.75,0.9199999999999999
XGBoost,10.1016/j.combustflame.2020.12.042,Li 2021 [.2020.12.042],3,1.0,
