n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,reg_alpha,group_roc_auc,std
200,6,0.05,10,0.8,0.6,1.0,5.0,2.0,0.7288185275233452,0.03642890578959494
800,6,0.03,1,0.8,0.8,0.0,5.0,2.0,0.72675969434127,0.028177712514971243
800,6,0.01,10,0.6,0.6,0.5,5.0,2.0,0.7248231028452701,0.03626428540200785
800,6,0.01,20,0.6,0.6,0.5,1.0,0.0,0.7247426310960972,0.038706118315200676
600,5,0.05,20,0.9,0.6,0.0,5.0,2.0,0.7234165224421701,0.03498750286431363
400,4,0.03,2,0.7,0.5,2.0,5.0,2.0,0.7213016680740453,0.044170737702812136
800,4,0.02,20,0.7,0.5,0.5,5.0,0.0,0.7209022681193018,0.04466247948130029
800,4,0.03,4,0.6,1.0,1.0,5.0,0.5,0.7202687040810334,0.04218856015221781
400,4,0.05,1,0.8,0.8,1.0,10.0,1.0,0.719856550100883,0.029124873242236057
800,4,0.03,4,0.7,0.5,0.5,10.0,0.0,0.7196049607029247,0.045576466891280185
200,5,0.05,10,0.8,0.8,0.0,10.0,0.5,0.7193181238182508,0.03402207958941028
800,4,0.1,20,0.7,0.5,2.0,5.0,0.1,0.7190032758765222,0.04350987258635248
200,5,0.1,1,0.7,0.8,2.0,5.0,1.0,0.7184963777149311,0.024525213266101072
400,6,0.1,4,1.0,0.6,0.1,5.0,1.0,0.7180488997846968,0.03512324201777878
400,6,0.03,6,0.6,0.6,2.0,0.5,1.0,0.7179840269874298,0.049657820784370726
800,6,0.02,20,0.6,0.8,0.5,1.0,0.0,0.7174538773715371,0.042380106912484256
400,6,0.02,20,0.8,0.8,0.5,1.0,1.0,0.7170733079550364,0.03968493720958611
600,4,0.01,20,0.6,0.5,0.1,1.0,0.0,0.7158275767543067,0.04741239597860675
800,6,0.02,6,0.6,1.0,1.0,1.0,0.0,0.7151600480557491,0.03807871223712045
200,6,0.01,10,0.6,1.0,1.0,5.0,1.0,0.7132126387760229,0.0281173138544106
200,6,0.02,2,1.0,0.5,2.0,10.0,0.5,0.712490802591123,0.02913278985636371
200,4,0.1,10,0.9,0.8,1.0,2.0,0.0,0.7120061970388699,0.05126887509140755
400,5,0.02,10,0.8,0.6,0.5,2.0,0.0,0.7101422994955995,0.042248829686711
400,5,0.05,4,0.7,0.8,0.0,2.0,0.0,0.7082384940932139,0.06023291600204591
200,3,0.1,20,0.8,0.6,0.1,5.0,0.5,0.7072816478595788,0.059526874941913534
400,4,0.03,10,0.7,0.5,0.1,0.5,0.0,0.70659704484461,0.05375694415555362
200,5,0.03,6,0.8,0.8,0.0,2.0,1.0,0.7051152539368133,0.03894338440252628
