paper_id,paper_label,n_rows,ignition_rate,within_paper_auc,mean_pred_ign,mean_pred_noign,balanced_acc_05,median_robust_z
10.1016/j.combustflame.2022.112009,Rojas-Alva 2022 [.2022.112009],103,0.5339805825242718,0.2695075757575757,0.932948112487793,0.9580538272857666,0.5,0.84
10.1016/j.combustflame.2013.03.029,Takahashi et al 2013 [.2013.03.029],18,0.8333333333333334,0.31111111111111117,0.7465540170669556,0.8361292481422424,0.4,0.23243425839309848
10.1016/s1540-7489(02)80211-3,Feier 2002 [9(02)80211-3],39,0.41025641025641024,0.38586956521739135,0.9753458499908447,0.9768445491790771,0.5,0.543651304424407
10.1016/j.actaastro.2019.01.044,Bolodyan 2019 [.2019.01.044],32,0.75,0.45052083333333337,0.823040783405304,0.9694169759750366,0.3958333333333333,0.48306283811901785
10.1016/j.combustflame.2009.01.015,Olson 2009 [.2009.01.015],108,0.8240740740740741,0.4583086930810172,0.7089318633079529,0.926358163356781,0.34831460674157305,0.5523900361048338
ices-2025-392,Urban ???? [ces-2025-392],221,0.4796380090497738,0.47760459392945037,0.7599165439605713,0.8031772375106812,0.492616899097621,0.84
10.1016/j.proci.2024.105199,Konno 2024 [.2024.105199],38,0.6842105263157895,0.5256410256410257,0.9292110800743103,0.825787365436554,0.5416666666666666,0.39263803680981596
10.1016/j.firesaf.2024.104329,Ma 2025 [.2024.104329],255,0.6078431372549019,0.5404193548387097,0.6822401285171509,0.6274280548095703,0.5430645161290323,0.5223880597014925
10.2514/6.2012-3492,Olson 2012 [/6.2012-3492],58,0.43103448275862066,0.543030303030303,0.7888799905776978,0.743903636932373,0.5206060606060606,1.0625
10.1016/j.firesaf.2023.103989,Konno 2023 [.2023.103989],314,0.6878980891719745,0.5633267195767196,0.8875118494033813,0.7851714491844177,0.5557445200302343,0.565114030139415
10.2322/tastj.16.28,Takahashi 2018 [/tastj.16.28],40,0.5,0.5812499999999999,0.9449895024299622,0.9299858212471008,0.5,0.22641509433962
10.1016/j.firesaf.2024.104267,Olson 2024 [.2024.104267],48,0.5,0.6032986111111112,0.28205442428588867,0.23410682380199432,0.5208333333333334,1.256081828955064
10.1007/s10694-019-00935-4,Konno 2020 [-019-00935-4],43,0.5813953488372093,0.6266666666666667,0.9133985638618469,0.8405965566635132,0.5277777777777778,0.39227642276422764
