paper_id,paper_label,n_rows,n_ignition,ignition_rate,n_no_ignition,single_class,share_of_dataset_pct,numeric_coverage
10.1016/j.firesaf.2023.103989,Konno 2023 [.2023.103989],314,216,0.6878980891719745,98,False,7.591876208897485,0.7898089171974523
10.1007/s10694-019-00880-2,Takahashi et al 2020 [-019-00880-2],298,129,0.43288590604026844,169,False,7.205029013539652,0.7391304347826086
10.1016/j.firesaf.2024.104329,Ma 2025 [.2024.104329],255,155,0.6078431372549019,100,False,6.165377176015474,0.710144927536232
10.1016/j.proci.2022.07.002,Konno 2023 [.2022.07.002],241,162,0.6721991701244814,79,False,5.826885880077369,0.8695652173913043
ices-2025-392,Urban ???? [ces-2025-392],221,106,0.4796380090497738,115,False,5.343326885880077,0.5284280936454849
10.1016/j.combustflame.2009.01.015,Olson 2009 [.2009.01.015],108,89,0.8240740740740741,19,False,2.611218568665377,0.6892109500805154
10.1016/s0082-0784(06)80816-7,Sacksteder 1994 [4(06)80816-7],108,96,0.8888888888888888,12,False,2.611218568665377,0.6827697262479873
10.1016/j.combustflame.2022.112009,Rojas-Alva 2022 [.2022.112009],103,55,0.5339805825242718,48,False,2.490328820116054,0.7391304347826086
10.1007/s10694-019-00896-8,Wu 2020 [-019-00896-8],91,89,0.978021978021978,2,False,2.2001934235976788,0.7104634495938843
10.1016/j.combustflame.2020.07.044,Guibaud 2020 [.2020.07.044],91,91,1.0,0,True,2.2001934235976788,0.7391304347826086
10.1038/s41598-017-18398-4,Link 2018 [-017-18398-4],85,71,0.8352941176470589,14,False,2.0551257253384914,0.6521739130434783
10.1016/j.proci.2018.06.022,Huang 2019 [.2018.06.022],83,78,0.9397590361445783,5,False,2.006769825918762,0.6626506024096386
10.1016/j.proci.2014.07.017,Takahashi et al 2015 [.2014.07.017],80,60,0.75,20,False,1.9342359767891684,0.7190217391304349
10.1016/s1540-7489(02)80314-5,Takahashi 2002 [9(02)80314-5],79,67,0.8481012658227848,12,False,1.9100580270793037,0.782608695652174
10.1007/s12217-018-9655-0,Zhu 2018 [7-018-9655-0],78,61,0.782051282051282,17,False,1.885880077369439,0.7525083612040133
article::takahashi shuhei takeshi nagumo kazunori wakai and subrata bhattacharjee effects of ambient condition on flame spread over a thin pmma sheet jsme international journal series b 43 4 2000 556 562,Takahashi Shuhei 2000 [2000 556 562],76,76,1.0,0,True,1.8375241779497098,0.7391304347826086
ices-2017-244,Nagachi et al 2017 [ces-2017-244],75,39,0.52,36,False,1.8133462282398454,0.7391304347826086
10.1007/s10694-019-00860-6,Nagachi 2020 [-019-00860-6],74,47,0.6351351351351351,27,False,1.7891682785299807,0.8789659224441834
article::olson s l and j s t ien near limit flame spread over a thin solid fuel in 0 symposium international on combustion vol 22 no 1 1988 pp 1213 1222 the combustion institute,Olson 1988 [on institute],71,67,0.9436619718309859,4,False,1.7166344294003868,0.6246172688303736
article::takahashi shuhei et al effect of ambient gas on flame spread over a solid material in 0 j jpn soc 0 appl 24 3 2007 225 230,Takahashi 2007 [2007 225 230],68,64,0.9411764705882353,4,False,1.644100580270793,0.7352941176470589
10.1016/j.actaastro.2020.05.043,Melikhov 2020 [.2020.05.043],65,65,1.0,0,True,1.5715667311411992,0.4782608695652174
10.1016/j.proci.2024.105775,Kumar 2024 [.2024.105775],60,60,1.0,0,True,1.4506769825918762,0.7391304347826086
10.2514/6.2012-3492,Olson 2012 [/6.2012-3492],58,25,0.43103448275862066,33,False,1.402321083172147,0.7211394302848575
