feature,mean,std
oxygen_fraction,0.13121999741380808,0.10795124091066562
gravity_g,0.010743656515494337,0.005390527553755401
material_family,0.008587400767736647,0.01016870397019667
material_grouped,0.00596525868962911,0.017226245338603452
internal_dim_3_mm,0.005570829168302804,0.007010782503668282
flow_speed_abs_mm_s,0.005256099439047146,0.020012564590905165
ignition_time_s,0.0047483655185796845,0.019554063757420803
flow_velocity_mm_s,0.004696088798728657,0.012689967597878288
geometry_cat,0.0026198553199391593,0.003062172854245868
sample_dim_1_mm,0.0022754333033985106,0.015011835709872195
internal_dim_2_mm,0.002104116788322623,0.006434458889740793
log10_gravity_g,0.0015693802210111519,0.0024673941048637365
sample_dim_max_mm,0.0007886613422192903,0.004702259559583303
ignition_energy_j,0.0007834876220603635,0.00636097479464436
sample_dim_3_mm,0.0007755743905219532,0.01642379110224123
core_material,0.0006967964900114643,0.0034452054923131063
internal_geom_cat,0.0003321992553538378,0.0009053373813230108
pressure_kpa,0.00021719861374967856,0.012699397873605408
ig_method_cat,6.392992131691423e-05,0.0010039760074790401
outer_diameter_mm,3.3892962352926095e-05,0.0025352282113992957
ignition_power_w,-0.0001324504667086868,0.00307578486921618
core_diameter_mm,-0.00018893727976668998,0.000555968894450751
sample_dim_count,-0.00019239595134369348,0.0005351640143395119
sample_dim_2_mm,-0.0005492124278445764,0.005327367624480617
facility_cat,-0.00083289474734086,0.006640739298194232
insulation_thickness_mm,-0.0012655755398960624,0.00718387153786357
flow_direction,-0.0012875234845756746,0.0014255441316116022
gravity_regime,-0.0024870866527017905,0.005781681297422364
sample_dim_mean_mm,-0.002797868062755628,0.008869852680775003
internal_dim_1_mm,-0.003609096956955486,0.015410085083772987
internal_dim_mean_mm,-0.004731845288318914,0.012255832743925388
sample_dim_min_mm,-0.004839113457156911,0.011706112981084402
