,mean_abs_shap
oxygen_fraction,1.371148705482483
flow_speed_abs_mm_s,0.46445003151893616
ignition_time_s,0.41640323400497437
flow_velocity_mm_s,0.4117794334888458
material_grouped,0.3538586220383877
sample_dim_3_mm,0.30433225631713867
material_family,0.26511919958284125
internal_dim_mean_mm,0.2567448019981384
pressure_kpa,0.22337311506271362
gravity_g,0.21851220726966858
internal_dim_1_mm,0.2129843831062317
internal_dim_3_mm,0.17099998891353607
sample_dim_mean_mm,0.15975850820541382
internal_dim_2_mm,0.14637073874473572
sample_dim_1_mm,0.13735763728618622
core_material,0.13650074135512114
facility_cat,0.12422494008205831
sample_dim_min_mm,0.11447758227586746
ignition_energy_j,0.09831200540065765
gravity_regime,0.0893293519038707
sample_dim_2_mm,0.07958372682332993
geometry_cat,0.06394728133454919
sample_dim_max_mm,0.05424748733639717
log10_gravity_g,0.049221206456422806
internal_geom_cat,0.04875281191198155
insulation_thickness_mm,0.04449841380119324
ig_method_cat,0.039887311519123614
ignition_power_w,0.03784225508570671
core_diameter_mm,0.031525157392024994
flow_direction,0.025590584613382816
outer_diameter_mm,0.025509091094136238
sample_dim_count,0.009666431695222855
