method,seed,fold,n_test,n_test_papers,roc_auc,pr_auc,mcc,f1,balanced_accuracy,youden_j_balacc,thr_mcc,thr_f1,thr_balacc,thr_youden
xgb,0,0,863,17,0.6217914616305359,0.8183433181361454,0.17376354606553784,0.8675675675675676,0.5964187022505948,0.5964187022505948,0.9486615657806396,0.1707388460636139,0.9357187151908875,0.9357187151908875
xgb,0,1,861,20,0.5038781880887144,0.74917314916866,0.012840397793007068,0.842741935483871,0.5076575471312313,0.5076575471312313,0.8699378371238708,0.15047398209571838,0.8764709830284119,0.8764709830284119
xgb,0,2,1006,13,0.6313041244857114,0.8223977114939449,0.18859464469479018,0.8366394399066511,0.5731513474483046,0.5731513474483046,0.6350424885749817,0.08373056352138519,0.9146404266357422,0.9146404266357422
xgb,0,3,856,15,0.7388629372222855,0.9055297727129505,0.27688462887564746,0.8669755129053607,0.6090463711974479,0.6090463711974479,0.5048579573631287,0.042273152619600296,0.6694551706314087,0.6694551706314087
xgb,0,4,857,20,0.7072635212536849,0.8824099039504762,0.2049091346432107,0.8626373626373627,0.6528921201753448,0.6528921201753448,0.6556549668312073,0.3809100389480591,0.9283223748207092,0.9283223748207092
xgb,1,0,871,16,0.6240838033612964,0.8074742080750128,0.1900164205266251,0.862565445026178,0.6111711569845678,0.6111711569845678,0.835767388343811,0.024832120165228844,0.8410440683364868,0.8410440683364868
xgb,1,1,861,20,0.5011893564525143,0.7427633424597629,0.02017711477695292,0.842741935483871,0.5205802968960863,0.5205802968960863,0.8241152167320251,0.24053356051445007,0.8566913604736328,0.8566913604736328
xgb,1,2,858,18,0.6816905090949839,0.8640131094488027,0.2308410468789651,0.8597222222222223,0.6301833937175513,0.6301833937175513,0.6630445718765259,0.4207136631011963,0.861977219581604,0.861977219581604
xgb,1,3,979,13,0.7215535704957425,0.8882912670667342,0.14526745549074135,0.840047393364929,0.5867889045604138,0.5867889045604138,0.3447114825248718,0.02663876675069332,0.61954665184021,0.61954665184021
xgb,1,4,874,18,0.733351258647753,0.8959574076862982,0.31304133865653966,0.872,0.6230451717923376,0.6230451717923376,0.6984236836433411,0.2347143441438675,0.9516584873199463,0.9516584873199463
xgb,2,0,882,17,0.622553235053235,0.8190944921093228,0.15852505795084532,0.8588235294117647,0.5804054054054054,0.5804054054054054,0.33027487993240356,0.1266738325357437,0.8921495079994202,0.8921495079994202
xgb,2,1,852,21,0.584552997110096,0.7987267796474727,0.07006743420799039,0.8505747126436781,0.5354353859061606,0.5354353859061606,0.7714304327964783,0.11506437510251999,0.7714304327964783,0.7714304327964783
xgb,2,2,977,11,0.6666090418565666,0.8550360319224459,0.16623800953424303,0.8380493678506924,0.5855545078317356,0.5855545078317356,0.7080690264701843,0.08877702057361603,0.8102254867553711,0.8102254867553711
xgb,2,3,860,15,0.7643947145002938,0.9122298646148467,0.2976996433578682,0.864010989010989,0.6351524914556893,0.6351524914556893,0.3023691475391388,0.19085568189620972,0.9618743062019348,0.9618743062019348
xgb,2,4,872,21,0.7157913858427684,0.8767828163500528,0.2970441151530346,0.8708630759247242,0.675908831401858,0.675908831401858,0.9197658896446228,0.06701114028692245,0.9197658896446228,0.9197658896446228
knn,0,0,863,17,0.5358720870092063,0.7727954463417632,0.07548679569660659,0.8410825815405968,0.5238728554329033,0.5238728554329033,0.5480507646163213,0.5449996817723656,0.8542996855750836,0.8542996855750836
knn,0,1,861,20,0.4848553006447744,0.730081372128045,-0.18451264560709418,0.842741935483871,0.4067803541487752,0.4067803541487752,0.8918349210568751,0.25239548311381166,0.8918349210568751,0.8918349210568751
knn,0,2,1006,13,0.5793179648466463,0.7410470509704212,0.022070349914505107,0.8336231884057971,0.5111798713854414,0.5111798713854414,0.9526189541107385,0.09170907829200962,0.9526189541107385,0.9526189541107385
knn,0,3,856,15,0.5683073183699822,0.7873373559979179,0.055951330629048945,0.8669755129053607,0.5136037370399908,0.5136037370399908,0.5827584066064103,0.3498002962223834,0.9557624454736026,0.9557624454736026
knn,0,4,857,20,0.7148088466649356,0.8734400893228954,0.0,0.8686468646864687,0.6655771257503322,0.6655771257503322,0.19622804148571069,0.300695225320537,0.9506781956964789,0.9506781956964789
knn,1,0,871,16,0.5376284822630057,0.7664151281114098,0.03267061354528887,0.8605108055009824,0.5186174020099064,0.5186174020099064,0.8999410853508213,0.34993199037411266,0.8999410853508213,0.8999410853508213
