model_a,model_b,delta_roc_auc,p_roc_auc,delta_mcc,p_mcc
dt,knn,-0.008073386107762086,0.76153564453125,-0.10541102700649735,0.01806640625
dt,mlp,-0.005711434648495343,0.76153564453125,-0.012153055265186933,1.0
dt,svm,-0.0007530567289324552,0.890380859375,-0.030326702072530447,0.52447509765625
dt,xgb,0.055758275134410167,0.072998046875,0.029309927161005132,0.389404296875
knn,mlp,0.0023619514592667424,0.890380859375,0.09325797174131041,0.00115966796875
knn,svm,0.00732032937882963,0.67877197265625,0.0750843249339669,0.01507568359375
knn,xgb,0.06383166124217225,0.00537109375,0.1347209541675025,0.0008544921875
mlp,svm,0.0049583779195628876,0.97796630859375,-0.01817364680734351,0.45428466796875
mlp,xgb,0.061469709782905516,0.0042724609375,0.04146298242619207,0.063720703125
svm,xgb,0.05651133186334263,0.0042724609375,0.05963662923353558,0.063720703125
