method,seed,fold,n_test,n_test_papers,roc_auc,pr_auc,mcc,f1,balanced_accuracy,youden_j_balacc,thr_mcc,thr_f1,thr_balacc,thr_youden
xgb,0,0,863,17,0.6217914616305359,0.8183433181361454,0.17376354606553784,0.8675675675675676,0.5964187022505948,0.5964187022505948,0.9486615657806396,0.1707388460636139,0.9357187151908875,0.9357187151908875
xgb,0,1,861,20,0.5038781880887144,0.74917314916866,0.012840397793007068,0.842741935483871,0.5076575471312313,0.5076575471312313,0.8699378371238708,0.15047398209571838,0.8764709830284119,0.8764709830284119
xgb,0,2,1006,13,0.6313041244857114,0.8223977114939449,0.18859464469479018,0.8366394399066511,0.5731513474483046,0.5731513474483046,0.6350424885749817,0.08373056352138519,0.9146404266357422,0.9146404266357422
xgb,0,3,856,15,0.7388629372222855,0.9055297727129505,0.27688462887564746,0.8669755129053607,0.6090463711974479,0.6090463711974479,0.5048579573631287,0.042273152619600296,0.6694551706314087,0.6694551706314087
xgb,0,4,857,20,0.7072635212536849,0.8824099039504762,0.2049091346432107,0.8626373626373627,0.6528921201753448,0.6528921201753448,0.6556549668312073,0.3809100389480591,0.9283223748207092,0.9283223748207092
knn,0,0,863,17,0.5358720870092063,0.7727954463417632,0.07548679569660659,0.8410825815405968,0.5238728554329033,0.5238728554329033,0.5480507646163213,0.5449996817723656,0.8542996855750836,0.8542996855750836
knn,0,1,861,20,0.4848553006447744,0.730081372128045,-0.18451264560709418,0.842741935483871,0.4067803541487752,0.4067803541487752,0.8918349210568751,0.25239548311381166,0.8918349210568751,0.8918349210568751
knn,0,2,1006,13,0.5793179648466463,0.7410470509704212,0.022070349914505107,0.8336231884057971,0.5111798713854414,0.5111798713854414,0.9526189541107385,0.09170907829200962,0.9526189541107385,0.9526189541107385
knn,0,3,856,15,0.5683073183699822,0.7873373559979179,0.055951330629048945,0.8669755129053607,0.5136037370399908,0.5136037370399908,0.5827584066064103,0.3498002962223834,0.9557624454736026,0.9557624454736026
knn,0,4,857,20,0.7148088466649356,0.8734400893228954,0.0,0.8686468646864687,0.6655771257503322,0.6655771257503322,0.19622804148571069,0.300695225320537,0.9506781956964789,0.9506781956964789
dt,0,0,863,17,0.4605961194603301,0.7429129102576176,-0.04818540244207617,0.8644736842105263,0.4738218734760828,0.4738218734760828,0.7257173106031872,0.0,0.7257173106031872,0.7257173106031872
dt,0,1,861,20,0.6944819313240366,0.834035879857464,0.24409843720681595,0.842741935483871,0.6082280292806608,0.6082280292806608,0.6652496967245156,0.0,0.7107661855938865,0.7107661855938865
dt,0,2,1006,13,0.5324831720401447,0.7245750168905857,0.02398940213917973,0.8336231884057971,0.5785256332595117,0.5785256332595117,0.19685314700840112,0.0,0.7964538157421829,0.7964538157421829
dt,0,3,856,15,0.5757320268884585,0.7897974592022505,0.19627627268740805,0.8669755129053607,0.5720481561657362,0.5720481561657362,0.2464637805400772,0.0,0.28893423286111874,0.28893423286111874
dt,0,4,857,20,0.630912923279009,0.8226569262802104,0.2054960551780974,0.8686468646864687,0.6149440210169388,0.6149440210169388,0.37947545178175296,0.0,0.37947545178175296,0.37947545178175296
mlp,0,0,863,17,0.5495928832143754,0.7770081744472852,0.10052343551489294,0.8486562942008486,0.5538561569948722,0.5538561569948722,0.9983411327750827,0.0011125030445347504,0.9983411327750827,0.9983411327750827
mlp,0,1,861,20,0.5280401859349227,0.7143913995220028,-0.09343153653830309,0.842741935483871,0.45094671410460885,0.45094671410460885,0.9999387641293987,8.773927300635855e-09,0.9999387641293987,0.9999387641293987
mlp,0,2,1006,13,0.6538165182963175,0.8275712270413478,0.14690599047727915,0.7940026075619296,0.5967686440226214,0.5967686440226214,0.008121279342857281,0.00773719251950989,0.10540571464553954,0.10540571464553954
mlp,0,3,856,15,0.5977403061030724,0.8385261342073047,0.13332066988248695,0.856760374832664,0.5770270783487144,0.5770270783487144,0.9974664652305713,3.0160455735310653e-09,0.9974664652305713,0.9974664652305713
mlp,0,4,857,20,0.6730842663163843,0.8433431063801731,0.25791759429532934,0.809076682316119,0.641478669945472,0.641478669945472,0.8733534118308198,0.750819359641634,0.9427012646954426,0.9427012646954426
svm,0,0,863,17,0.609256550073148,0.8425553266994898,0.11513456033890598,0.8607935440484197,0.559379202317093,0.559379202317093,0.379537336586562,0.379537336586562,0.9416985176763876,0.9416985176763876
svm,0,1,861,20,0.48771793508635614,0.7602024237684756,0.03506669737942462,0.842741935483871,0.497546313335787,0.497546313335787,0.955400478749757,0.446414143845954,0.9536339333851084,0.9536339333851084
svm,0,2,1006,13,0.584677712463594,0.7802984684281205,0.05152840091814255,0.8367707719505009,0.5469680595872122,0.5469680595872122,0.7473692127292831,0.3802963123118771,0.8699544025595719,0.8699544025595719
svm,0,3,856,15,0.5939728836732369,0.852996133701351,0.2007267345531148,0.8669755129053607,0.5860354714974745,0.5860354714974745,0.9300497037369693,0.3230423065059461,0.9300497037369693,0.9300497037369693
svm,0,4,857,20,0.683806570848162,0.8579222240379689,0.24871423923030053,0.8678996036988111,0.6382596874952269,0.6382596874952269,0.9294345332181244,0.5062515182047727,0.9294345332181244,0.9294345332181244
