model_a,model_b,delta_roc_auc,p_roc_auc,delta_mcc,p_mcc
dt,knn,-0.0022089310912868252,0.8125,-0.1305357868272717,0.1875
dt,mlp,0.021613597374618675,0.625,-0.015287722227547946,1.0
dt,svm,0.013045095830503627,0.625,0.0058991735300926995,0.625
dt,xgb,0.061778811937790626,0.625,0.04706351746055366,0.8125
knn,mlp,0.0238225284659055,0.3125,0.11524806459972377,0.0625
knn,svm,0.015254026921790453,0.4375,0.1364349603573644,0.0625
knn,xgb,0.06398774302907745,0.125,0.1775993042878254,0.0625
mlp,svm,-0.008568501544115047,0.8125,0.021186895757640635,0.625
mlp,xgb,0.040165214563171944,0.3125,0.06235123968810159,0.1875
svm,xgb,0.048733716107286995,0.0625,0.04116434393046095,0.3125
