n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,reg_alpha,group_roc_auc,std
400,5,0.05,4,0.7,0.8,0.0,2.0,0.0,0.6458770981407783,0.039231035145048186
800,6,0.03,1,0.8,0.8,0.0,5.0,2.0,0.6412949035332238,0.04654700921603658
400,6,0.03,6,0.6,0.6,2.0,0.5,1.0,0.6406368281443355,0.04712150641346404
400,5,0.05,6,0.7,1.0,0.0,1.0,0.0,0.6394619186214501,0.04614792152587549
800,6,0.02,6,0.6,1.0,1.0,1.0,0.0,0.6393904521766965,0.0457974291082262
800,4,0.1,20,0.7,0.5,2.0,5.0,0.1,0.6389635579964645,0.038849701989819206
800,6,0.01,20,0.6,0.6,0.5,1.0,0.0,0.6373166048969214,0.06423725811239843
800,4,0.03,4,0.7,0.5,0.5,10.0,0.0,0.636988965465962,0.042729678642257955
600,5,0.05,20,0.9,0.6,0.0,5.0,2.0,0.6363952054252722,0.048541432281826814
600,4,0.1,2,1.0,1.0,0.0,0.5,0.5,0.6357001018370136,0.05215356905746961
200,5,0.1,1,0.7,0.8,2.0,5.0,1.0,0.6355429268321087,0.049327451336621565
800,4,0.03,4,0.6,1.0,1.0,5.0,0.5,0.6325270043342279,0.04412492019846503
800,4,0.1,10,0.9,1.0,0.0,1.0,0.5,0.6314882671950874,0.03965355241692058
800,3,0.02,1,0.6,0.8,0.5,1.0,0.1,0.6294744426269853,0.055457116424454736
200,5,0.01,10,0.8,0.5,2.0,0.5,0.5,0.6280885348873816,0.0761852344797598
800,6,0.02,20,0.6,0.8,0.5,1.0,0.0,0.6276615576197262,0.04784670880250047
400,6,0.1,4,1.0,0.6,0.1,5.0,1.0,0.6268027945143502,0.039529394316487367
800,6,0.01,10,0.6,0.6,0.5,5.0,2.0,0.626722842457489,0.06398829184801673
200,5,0.05,4,0.8,1.0,0.0,5.0,0.1,0.6262938422678423,0.04386934959417945
800,2,0.03,10,0.8,0.6,0.0,1.0,0.1,0.6262162287784909,0.05561063583294515
400,4,0.03,10,0.7,0.5,0.1,0.5,0.0,0.6258027235756664,0.04674909802885384
400,5,0.02,10,0.8,0.6,0.5,2.0,0.0,0.6254627346995885,0.054693111137678566
800,4,0.02,20,0.7,0.5,0.5,5.0,0.0,0.6252675244376764,0.05667909836995399
200,6,0.05,10,0.8,0.6,1.0,5.0,2.0,0.6245921685711249,0.05771707282639102
200,6,0.02,2,1.0,0.5,2.0,10.0,0.5,0.6233794845677612,0.0653878124908362
400,4,0.03,2,0.7,0.5,2.0,5.0,2.0,0.623136452293674,0.0589871111247539
800,6,0.01,2,1.0,0.5,2.0,1.0,2.0,0.6221135202505406,0.05482146564880593
400,4,0.05,1,0.8,0.8,1.0,10.0,1.0,0.6220826493676943,0.0505726575330555
600,4,0.01,20,0.6,0.5,0.1,1.0,0.0,0.6209979432966615,0.06585332105447918
400,6,0.02,20,0.8,0.8,0.5,1.0,1.0,0.6204068578496157,0.06593330859285138
800,3,0.05,2,0.9,1.0,0.5,5.0,0.1,0.6199334188959396,0.0410309251926781
800,2,0.03,1,0.8,1.0,0.0,1.0,2.0,0.6193229573052366,0.05552079734345184
800,3,0.05,4,0.7,1.0,0.0,5.0,1.0,0.6191269682329985,0.04681075292137583
200,4,0.1,10,0.9,0.8,1.0,2.0,0.0,0.618381729068858,0.04420388782239067
400,2,0.1,6,0.9,0.5,0.1,5.0,2.0,0.6179573791166838,0.05106792065170842
400,2,0.03,6,0.9,0.6,2.0,2.0,0.1,0.6153827953512738,0.07407734149406746
200,5,0.03,6,0.8,0.8,0.0,2.0,1.0,0.6153179028939979,0.05695573051299657
400,4,0.02,1,0.9,0.8,0.0,1.0,0.1,0.6140660864011086,0.04068568127616988
200,5,0.05,10,0.8,0.8,0.0,10.0,0.5,0.6136968262475364,0.07123539708156808
400,5,0.01,4,0.8,1.0,0.1,1.0,0.5,0.612606152940434,0.05800425915646805
200,3,0.03,20,1.0,0.5,2.0,0.5,1.0,0.6125042711500217,0.06359192990434623
