feature,importance
Oxygen Concentration,0.3161872843985664
Flow Velocity (Co flow is + and counter flow is -),0.22254189826518955
Ignition time (s),0.06302097769707163
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.061811016228871724
Rig Name_FLARE,0.03973135027101612
Internal Dimensions,0.03088932304616575
Pressure,0.025801935932652946
Gravity (g/gearth),0.025523080317487675
Ignition power (W),0.015431423481327046
Rig Name_HOI test apparatus / 0 wind tunnel,0.014686024841774892
Rig Name_External-radiation wire flammability chamber,0.014119281152172517
Material of sample_Polydimethylsiloxane (PDMS),0.012513086457134785
"Internal geometry (Cylindrical , rectangular)_Rectangular",0.009603700450168154
Material of sample_Cu core; LDPE outer,0.007466176005951221
Material of sample_Kimwipes,0.00714115343588634
"Geometry of Sample (flat, wire, or Cylindrical)_Wire",0.006830550283419702
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Ground",0.006719223458752512
"Geometry of Sample (flat, wire, or Cylindrical)_Cylindrical",0.0060421399001074185
"Geometry of Sample (flat, wire, or Cylindrical)_flat",0.005641425130876339
Material of sample_NiCr core; ETFE outer,0.005574821651283382
Rig Name_SSCE,0.00510080177139579
Material of sample_NOMEX,0.00502338678624628
Material of sample_NiCr core; LDPE outer,0.00436543022149596
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Parabolic Aircraft",0.004166809459502288
Material of sample_Polycarbonate,0.00407402550116708
"Ignition method (Wire, open flame, or Radiative Heater_open flame",0.0038161875103269725
Material of sample_Kapton,0.0036108656799085335
Rig Name_NASA Glenn Zero Gravity Facility,0.0034261871124841594
Rig Name_SAFFIRE II,0.003266583175128294
Rig Name_0 wind tunnel / HOI test apparatus,0.003125420920570499
Material of sample_Teflon,0.003093104270670697
"Ignition method (Wire, open flame, or Radiative Heater_Wire",0.0028802451009228196
Material of sample_Cotton T-Shirt Material,0.002688680183569117
Material of sample_PMMA,0.002566318821316076
Material of sample_Nomex Velcro,0.0024357544683381313
Rig Name_SJ-10 satellite,0.0024031650643766226
