feature,importance
Material of sample_Cellulosic tSpacecraftue,0.11747365
Rig Name_FLARE,0.057399254
"Geometry of Sample (flat, wire, or Cylindrical)_wire",0.04076564
Rig Name_0 wind tunnel / HOI test apparatus,0.03691439
"Geometry of Sample (flat, wire, or Cylindrical)_Wire",0.03476925
Rig Name_JAMIC dropshaft,0.021939596
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.020103924
Rig Name_HOI test apparatus / 0 wind tunnel,0.018777074
Rig Name_External-radiation wire flammability chamber,0.015752723
Material of sample_Kimwipes,0.015743507
Material of sample_Kevlar,0.01549584
Ignition time (s),0.0153642185
Rig Name_NCCRD IIT Madras combustion duct,0.01531863
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Drop Tower",0.015286707
"Ignition method (Wire, open flame, or Radiative Heater_Open flame",0.014764115
Internal Dimensions,0.013797574
Oxygen Concentration,0.013796136
Material of sample_PMMA,0.013793893
"Internal geometry (Cylindrical , rectangular)_Rectangular",0.013438437
Flow Velocity (Co flow is + and counter flow is -),0.013056267
"Geometry of Sample (flat, wire, or Cylindrical)_Flat",0.012430322
Material of sample_Extruded PMMA,0.012404114
"Geometry of Sample (flat, wire, or Cylindrical)_flat",0.011927211
Material of sample_NiCr core; ETFE outer,0.011577499
Rig Name_Ploskiy kanal,0.011386224
Rig Name_DIAMONDS,0.011196888
"Ignition method (Wire, open flame, or Radiative Heater_Wire",0.011096093
Rig Name_NASA Glenn Zero Gravity Facility,0.010471654
Material of sample_Cu core; LDPE outer,0.010312853
"Geometry of Sample (flat, wire, or Cylindrical)_Cylindrical",0.010217867
Rig Name_NASA Narrow Channel Apparatus,0.010012208
Ignition power (W),0.009971754
"Internal geometry (Cylindrical , rectangular)_Cylindrical",0.009949861
Pressure,0.009911067
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Ground",0.009876531
Material of sample_Polydimethylsiloxane (PDMS),0.009596737
Gravity (g/gearth),0.009475526
Material of sample_Silicone resin,0.0094039645
"Ignition method (Wire, open flame, or Radiative Heater_open flame",0.009333494
Material of sample_Kapton,0.009201047
Rig Name_MGLAB,0.009147258
Material of sample_NiCr core; LDPE outer,0.008924846
Rig Name_NASA Glenn Research Center,0.008885664
Material of sample_Polycarbonate,0.008659609
Material of sample_NiCr core; LDPE insulation,0.0086039975
Material of sample_Nomex HT90-40,0.008553714
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Spacecraft",0.008390795
Material of sample_Ultem 1000,0.008322482
"Ignition method (Wire, open flame, or Radiative Heater_Open Flame",0.008249444
Material of sample_NOMEX,0.008236052
Material of sample_Cu core; standard LDPE outer,0.007932421
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Parabolic Aircraft",0.007899996
Material of sample_Cu core; black LDPE outer,0.00778275
Material of sample_PPSU,0.007599806
Material of sample_Nomex Velcro,0.0074876626
Material of sample_SIBAL,0.007463723
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Centrifuge",0.0073789856
Material of sample_P-213 Tape,0.0072974726
Material of sample_Silicone rubber,0.00729116
Rig Name_BASS-II,0.006988218
Material of sample_SS inner; LDPE outer,0.006892353
Material of sample_Cotton T-Shirt Material,0.0068531125
Material of sample_Polyurethane foam fuel,0.006807004
Material of sample_Cu core; ETFE outer,0.0067292918
"Internal geometry (Cylindrical , rectangular)_Hemispherical",0.006477515
Material of sample_Whatman 44 filter paper,0.0064231004
Material of sample_CONEX,0.006334664
Material of sample_Cast PMMA,0.00632615
"Ignition method (Wire, open flame, or Radiative Heater_Radiative Heater",0.0059892023
Rig Name_SJ-10 satellite,0.0057531046
Material of sample_Mylar G,0.0056183464
Material of sample_PEEK,0.00550964
Rig Name_NASA KC-135,0.005447898
Material of sample_Cellulose acetate sheet; MIL SPEC LP-504,0.0054226317
Rig Name_RITSI,0.0053636576
Rig Name_NASA Zero Gravity Facility,0.005192763
Rig Name_FIRE WIRE,0.004312954
Rig Name_BASS,0.00394682
Material of sample_Bleached cheesecloth; area density 13.14 mg/c,0.0
"Geometry of Sample (flat, wire, or Cylindrical)_Spherical",0.0
Material of sample_Cellulosic strand,0.0
Material of sample_Cellulosic paper (Kimwipes),0.0
Material of sample_Cellulosic paper,0.0
Material of sample_Cellulosic Fuel,0.0
Material of sample_Cellulose acetate sheet; MIL-SPEC LP-504,0.0
Material of sample_Carbon fabric 99.2%C,0.0
Material of sample_Carbon fabric 99.5%C,0.0
Material of sample_Carbon fabric Kulon,0.0
Material of sample_Capron fabric,0.0
Material of sample_Bleached cheesecloth; area density 4.38 mg/cm,0.0
Material of sample_Bleached cheesecloth; area density 2.0 mg/cm²,0.0
Material of sample_Carbon fabric 57.53%C,0.0
Material of sample_Acrylonitrile copolymer with methylacrylate,0.0
Material of sample_Filter paper,0.0
Material of sample_Fabric Fenilon,0.0
Material of sample_Fluoroplastic film,0.0
Material of sample_TENGU paper; area density 0.2 mg/cm²,0.0
Material of sample_TENGU paper; area density 0.2 mg/cm1,0.0
Material of sample_Styrene,0.0
Material of sample_Silicone,0.0
Material of sample_Polypropylene,0.0
Material of sample_Polystyrene,0.0
Material of sample_Polyurethane,0.0
Material of sample_Polyvinylformal,0.0
Material of sample_Polyoxymethylene (Delrin),0.0
Material of sample_Polyphenolic open-cell foam,0.0
Material of sample_Polymethyl methacrylate,0.0
Material of sample_Polybenzimidazole,0.0
