paper,Accuracy,BalancedAcc,Precision,Recall,F1,MCC,n,n_pos,ROC_AUC,PR_AUC
"Urban, David, et al. “Solid Fuel Ignition Testing for Lunar Applications, Theory and Experimental Results.” Proceedings of the 54th International Conference on Environmental Systems (ICES), Prague, Czech Republic, 13–17 July 2025",0.3815789473684211,0.3881533101045296,0.36666666666666664,0.4714285714285714,0.4125,-0.22687778737352582,152,70,0.3464285714285715,0.3880765759386779
"Kobayashi, Yoshinari, et al. ""Opposed flame spread over polyethylene under variable flow velocity and oxygen concentration in 0."" Fire Technology 56 (2020): 113-130.",0.4482758620689655,0.6,0.36,1.0,0.5294117647058824,0.2683281572999748,29,9,0.5083333333333333,0.31798127798127795
"Feier, Ioan I., et al. 'Upward flame spread over thin solids in partial gravity.' Proceedings of the Combustion Institute 29 (2002): 2569–2577.",0.4782608695652174,0.5,0.4782608695652174,1.0,0.6470588235294118,0.0,46,22,0.5132575757575758,0.48499091977352854
"Olson, S. L., and P. V. Ferkul. “Evaluating Material Flammability in 0 and Martian Gravity Compared to the NASA Standard Normal Gravity Test.” 42nd International Conference on Environmental Systems, American Institute of Aeronautics and Astronautics, 2012.",0.5,0.5,0.5,0.25,0.3333333333333333,0.0,32,16,0.5703125,0.53125
"Ma, Yuxuan, Fangsi Ren, Taro Takemata, Shinji Nakaya, and Mitsuhiro Tsue. ""Near-Limit Downward/Opposed Flame Spread, Flame Front Oscillation and Limiting Oxygen Concentration of B-LDPE Tube in Normal- and Hypergravity."" Fire Safety Journal, vol. 152, 2025, article 104329. https://doi.org/10.1016/j.firesaf.2024.104329.",0.5741626794258373,0.5990675990675991,0.7755102040816326,0.5314685314685315,0.6307053941908713,0.18455554271400965,209,143,0.6188811188811189,0.7781734113369789
"Konno, Yusuke, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, and Osamu Fujita. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.",0.6451612903225806,0.5691056910569106,0.7021276595744681,0.8048780487804879,0.75,0.15273931099346513,124,82,0.6366144018583043,0.7464309817738418
"Grayson, G. D., K. R. Sacksteder, P. V. Ferkul, and J. S. T’ien. 'Flame Spreading Over a Thin Solid in Low-speed Concurrent Flow – Drop Tower Experimental Results and Comparison with Theory.' 0 Science and Technology VII/2 (1994).",0.7307692307692307,0.5,0.7307692307692307,1.0,0.8444444444444444,0.0,26,19,0.763157894736842,0.8724696356275303
"Carney, Ama, Yanjun Li, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Concurrent-flow flame spread over thin discrete fuels in 0."" Combustion and Flame 226 (2021): 211-221.",0.8,0.5,0.8,1.0,0.8888888888888888,0.0,10,8,0.5625,0.8250000000000001
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in 0."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.",0.8163265306122449,0.5,0.8163265306122449,1.0,0.898876404494382,0.0,49,40,0.9069444444444446,0.9630280118775854
"Nagachi, Masashi, et al. ""Can a spreading flame over electric wire insulation in concurrent flow achieve steady propagation in 0?"" Proceedings of the Combustion Institute 37.3 (2019): 4155-4162.",0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,,30,30,,
