feature,importance_mean,importance_std
Oxygen Concentration,0.19388794064768677,0.009318812074891936
Pressure,0.04513483989895548,0.00488546484658635
Material of sample,0.040983136478459824,0.0059125086004218645
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.03514007419039174,0.004484441834811275
Flow Velocity (Co flow is + and counter flow is -),0.010428984319883528,0.011144569887420542
Rig Name,0.010015930452197341,0.003836900359757659
Ignition time (s),0.007936096128900182,0.005181057903184733
Ignition power (W),0.006251792175872251,0.0015174556571253598
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)",0.002623290321112426,0.002274167757689903
"Ignition method (Wire, open flame, or Radiative Heater",0.0016094308277008085,0.0012240368499646154
"Geometry of Sample (flat, wire, or Cylindrical)",-0.00019958580824279703,0.009256815872744073
"Internal geometry (Cylindrical , rectangular)",-0.0008140461072801752,0.0015424929952093584
Gravity (g/gearth),-0.009574429348444458,0.006930580095252317
Internal Dimensions,-0.022307412211829414,0.00558898698960844
