feature,mean_abs_shap
Oxygen Concentration,1.3946122662281215
Flow Velocity (Co flow is + and counter flow is -),0.7572876519054376
Ignition time (s),0.43713479696989227
Rig Name_FLARE,0.4279133751003561
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.2870577059296042
Gravity (g/gearth),0.2861322869236667
"Geometry of Sample (flat, wire, or Cylindrical)_flat",0.2752380192218227
"Geometry of Sample (flat, wire, or Cylindrical)_Wire",0.2014536733841892
Internal Dimensions,0.18373213157231139
Material of sample_Polycarbonate,0.08190584714880587
Ignition power (W),0.08152559447167315
Rig Name_MGLAB,0.07844873818631992
Material of sample_Cu core; ETFE outer,0.07556920392170205
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Ground",0.07023893009167381
Pressure,0.05941314010863161
"Geometry of Sample (flat, wire, or Cylindrical)_Cylindrical",0.05684155169424911
Rig Name_NASA Glenn Zero Gravity Facility,0.05500814325484139
Rig Name_HOI test apparatus / 0 wind tunnel,0.05445907432017826
"Internal geometry (Cylindrical , rectangular)_Rectangular",0.04870323999161702
Material of sample_Kimwipes,0.047498151432332214
Rig Name_External-radiation wire flammability chamber,0.04066600972668052
Material of sample_NiCr core; ETFE outer,0.039305131260769975
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Parabolic Aircraft",0.03921294230634435
Material of sample_Polydimethylsiloxane (PDMS),0.03918619159086698
"Internal geometry (Cylindrical , rectangular)_Cylindrical",0.03827819413700442
Material of sample_Cellulose acetate sheet; MIL SPEC LP-504,0.03471754123692428
Rig Name_DIAMONDS,0.0346790005322109
Material of sample_SS inner; LDPE outer,0.033381336663961786
Material of sample_Nomex Velcro,0.03335465624664043
Material of sample_NOMEX,0.032522892452395195
Material of sample_Cu core; LDPE outer,0.02637468741980683
"Geometry of Sample (flat, wire, or Cylindrical)_Flat",0.025180091097758126
"Ignition method (Wire, open flame, or Radiative Heater_Open Flame",0.02238204847054749
Material of sample_Kapton,0.021814826736982464
Material of sample_Polyurethane foam fuel,0.021553715362992953
Rig Name_0 wind tunnel / HOI test apparatus,0.020359110025704667
Rig Name_NASA Narrow Channel Apparatus,0.01718932447197687
Material of sample_Nomex HT90-40,0.016957035404941343
Material of sample_NiCr core; LDPE outer,0.01692177257067279
Material of sample_Kevlar,0.016877374096107844
Material of sample_Cotton T-Shirt Material,0.016294781536378235
Material of sample_PMMA,0.015421563629466424
Rig Name_SJ-10 satellite,0.013158431755862468
Material of sample_Ultem 1000,0.012664450813538264
Material of sample_PPSU,0.011873121886050747
Material of sample_CONEX,0.011652557406147
Material of sample_Silicone resin,0.010679465315792494
Rig Name_BASS-II,0.010103953075975482
"Ignition method (Wire, open flame, or Radiative Heater_open flame",0.008488030036148156
Material of sample_Silicone rubber,0.00840393270488727
Material of sample_PEEK,0.008196615531862418
Material of sample_NiCr core; LDPE insulation,0.008023843854707422
"Ignition method (Wire, open flame, or Radiative Heater_Wire",0.006730514955827157
Material of sample_Mylar G,0.006198398005814341
