feature,mean_abs_shap
Oxygen Concentration,1.7067096
Flow Velocity (Co flow is + and counter flow is -),0.9322269
Pressure,0.649583
Internal Dimensions,0.45865536
Gravity (g/gearth),0.41249692
Rig Name_FLARE,0.41244894
"Geometry of Sample (flat, wire, or Cylindrical)_flat",0.37774622
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.37120354
Ignition time (s),0.34177256
Material of sample_PMMA,0.242537
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Ground",0.19273403
"Geometry of Sample (flat, wire, or Cylindrical)_Flat",0.16223589
"Geometry of Sample (flat, wire, or Cylindrical)_Wire",0.14860055
Ignition power (W),0.1264531
"Geometry of Sample (flat, wire, or Cylindrical)_Cylindrical",0.12621498
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Drop Tower",0.1097856
Rig Name_DIAMONDS,0.08890682
Material of sample_SS inner; LDPE outer,0.07813483
Material of sample_Polycarbonate,0.07332422
Material of sample_NOMEX,0.07301882
Material of sample_Cu core; ETFE outer,0.06544181
Material of sample_NiCr core; ETFE outer,0.06499154
Rig Name_HOI test apparatus / 0 wind tunnel,0.057028446
Material of sample_NiCr core; LDPE outer,0.050677285
Material of sample_Cu core; LDPE outer,0.050490998
"Internal geometry (Cylindrical , rectangular)_Rectangular",0.04793472
Material of sample_Cotton T-Shirt Material,0.044247676
Rig Name_BASS-II,0.040638395
Material of sample_Nomex Velcro,0.03996724
Rig Name_NASA Narrow Channel Apparatus,0.03600116
"Ignition method (Wire, open flame, or Radiative Heater_Wire",0.0350091
"Internal geometry (Cylindrical , rectangular)_Cylindrical",0.03487662
Material of sample_Kapton,0.034257516
"Ignition method (Wire, open flame, or Radiative Heater_Open Flame",0.031892266
Rig Name_MGLAB,0.031182963
Material of sample_Kimwipes,0.030412517
Rig Name_0 wind tunnel / HOI test apparatus,0.029564597
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Parabolic Aircraft",0.0294012
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Spacecraft",0.029102406
Material of sample_Polydimethylsiloxane (PDMS),0.026523957
Rig Name_NASA Glenn Zero Gravity Facility,0.026090467
Rig Name_External-radiation wire flammability chamber,0.025593363
Material of sample_Silicone rubber,0.024043154
Material of sample_CONEX,0.023250483
Material of sample_Cu core; black LDPE outer,0.020257488
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)_Centrifuge",0.020240935
Material of sample_Ultem 1000,0.01869186
Rig Name_NASA KC-135,0.01845833
Material of sample_Kevlar,0.018449483
Material of sample_Polyurethane foam fuel,0.016855136
Material of sample_SIBAL,0.015265309
Material of sample_Nomex HT90-40,0.015013564
Material of sample_PEEK,0.014025728
Material of sample_NiCr core; LDPE insulation,0.012728989
Material of sample_Silicone resin,0.010665858
"Internal geometry (Cylindrical , rectangular)_Hemispherical",0.0103995465
Material of sample_Whatman 44 filter paper,0.009993992
"Geometry of Sample (flat, wire, or Cylindrical)_wire",0.009851867
Material of sample_Mylar G,0.00984317
Material of sample_Cellulosic tSpacecraftue,0.0072300434
Material of sample_Cu core; standard LDPE outer,0.006669119
"Ignition method (Wire, open flame, or Radiative Heater_Open flame",0.0066509
Rig Name_SJ-10 satellite,0.006460407
"Ignition method (Wire, open flame, or Radiative Heater_Radiative Heater",0.00588193
Rig Name_NASA Glenn Research Center,0.0058123884
Material of sample_PPSU,0.00509112
Material of sample_Cast PMMA,0.0050163637
Material of sample_P-213 Tape,0.0047363355
Rig Name_FIRE WIRE,0.0044227745
"Ignition method (Wire, open flame, or Radiative Heater_open flame",0.003881785
Rig Name_BASS,0.0036942398
Material of sample_Extruded PMMA,0.0024392798
Rig Name_JAMIC dropshaft,0.0016015513
Material of sample_Cellulose acetate sheet; MIL SPEC LP-504,0.0015691515
Rig Name_Ploskiy kanal,0.0015108252
Rig Name_NASA Zero Gravity Facility,0.0014720806
Rig Name_NCCRD IIT Madras combustion duct,0.0011884458
Rig Name_RITSI,0.00071674195
Material of sample_Bleached cheesecloth; area density 13.14 mg/c,0.0
"Geometry of Sample (flat, wire, or Cylindrical)_Spherical",0.0
Material of sample_Cellulosic strand,0.0
Material of sample_Cellulosic paper (Kimwipes),0.0
Material of sample_Cellulosic paper,0.0
Material of sample_Cellulosic Fuel,0.0
Material of sample_Cellulose acetate sheet; MIL-SPEC LP-504,0.0
Material of sample_Carbon fabric 99.2%C,0.0
Material of sample_Carbon fabric 99.5%C,0.0
Material of sample_Carbon fabric Kulon,0.0
Material of sample_Capron fabric,0.0
