split_id,protocol,seed,fold,model_id,model_family,feature_set,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,xgb_all_unweighted,xgboost,all,900,80,0.9136139785017894,0.9711091627245225,0.10301326960325241,0.6060032093740091,0.8562037797863599,0.8451908915826443,0.7673048600883653,0.9230769230769231,0.9684014869888475,0.5278537886537598,0.9022556390977443,0.705465850098961,0.9720176730486009,0.43891402714932126,0.8418367346938775,0.6020147643031105,0.8385460693153001,0.8471434569069499,0.7304860088365243,0.9638009049773756,0.9841269841269841,0.6020147643031105,0.8385460693153001,0.8471434569069499,0.7304860088365243,0.9638009049773756,0.9841269841269841
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,xgb_all_unweighted,xgboost,all,900,81,0.9203779846593674,0.9755644286617312,0.10328606516122818,0.6396969292892845,0.8767123287671232,0.859865119719577,0.801178203240059,0.918552036199095,0.9679715302491103,0.4887710215397868,0.8922863099374566,0.7057857242817824,0.9455081001472754,0.4660633484162896,0.8447368421052631,0.627042447670767,0.8516345347862532,0.8605048680852199,0.748159057437408,0.9728506787330317,0.9883268482490273,0.627042447670767,0.8516345347862532,0.8605048680852199,0.748159057437408,0.9728506787330317,0.9883268482490273
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,xgb_all_unweighted,xgboost,all,900,79,0.9089791348736163,0.9709881855195095,0.10741273313760757,0.6077828819682161,0.8778565799842396,0.8355013694613451,0.8203240058910162,0.8506787330316742,0.9440677966101695,0.5284679778510786,0.8844738778513613,0.7638295603729199,0.8851251840942562,0.6425339366515838,0.8838235294117647,0.5957006278522263,0.845,0.8416689435488708,0.7466863033873343,0.9366515837104072,0.9731285988483686,0.5957006278522263,0.845,0.8416689435488708,0.7466863033873343,0.9366515837104072,0.9731285988483686
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,xgb_all_unweighted,xgboost,all,900,79,0.9031714192417649,0.9673928760548702,0.11133038997650146,0.5643526074460635,0.8384424192212097,0.8228330190125217,0.7452135493372607,0.9004524886877828,0.9583333333333334,0.5397983356482409,0.8965024982155603,0.7497750884652037,0.9248895434462445,0.5746606334841629,0.8698060941828255,0.5680717132022303,0.835696413678065,0.8259384642040797,0.7378497790868925,0.9140271493212669,0.9634615384615385,0.5680717132022303,0.835696413678065,0.8259384642040797,0.7378497790868925,0.9140271493212669,0.9634615384615385
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,xgb_all_unweighted,xgboost,all,900,81,0.9089258225098128,0.9707079047644375,0.11019576340913773,0.5768373021314521,0.8736349453978159,0.8150860661473154,0.8247422680412371,0.8054298642533937,0.9286898839137645,0.4621110999421153,0.8907103825136612,0.6792128429484403,0.9602356406480118,0.39819004524886875,0.8305732484076433,0.606178510561364,0.8449287510477788,0.8485095862294165,0.7422680412371134,0.9547511312217195,0.980544747081712,0.606178510561364,0.8449287510477788,0.8485095862294165,0.7422680412371134,0.9547511312217195,0.980544747081712
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,xgb_all_unweighted,xgboost,all,899,80,0.9234306384228301,0.9744465620026882,0.09628985077142715,0.627858386918811,0.8701298701298701,0.854556254087748,0.7905604719764012,0.918552036199095,0.9675090252707581,0.5337879195448265,0.9015256588072122,0.7214324804121784,0.9587020648967551,0.4841628959276018,0.8507853403141361,0.6249756740634951,0.8671556642216789,0.8538688450192875,0.7846607669616519,0.9230769230769231,0.9690346083788707,0.6249756740634951,0.8671556642216789,0.8538688450192875,0.7846607669616519,0.9230769230769231,0.9690346083788707
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,xgb_all_unweighted,xgboost,all,837,17,0.6810101663042839,0.8613113433698132,0.20273421704769135,0.16027938329299407,0.7359307359307359,0.5870489804313334,0.689935064935065,0.4841628959276018,0.7884972170686456,0.057741901364056776,0.8484848484848485,0.502262443438914,1.0,0.004524886877828055,0.7368421052631579,0.18733827149914778,0.7176258992805755,0.6044066227889757,0.6477272727272727,0.5610859728506787,0.8044354838709677,0.18733827149914778,0.7176258992805755,0.6044066227889757,0.6477272727272727,0.5610859728506787,0.8044354838709677
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,xgb_all_unweighted,xgboost,all,874,20,0.6532406588873174,0.8394423719084829,0.18676602840423584,0.22795473953236717,0.7707160096540627,0.6286760372465818,0.7127976190476191,0.5445544554455446,0.8388791593695272,0.10235249755125175,0.8590514362057449,0.5279275695426686,0.9568452380952381,0.09900990099009901,0.7793939393939394,0.22795473953236717,0.7707160096540627,0.6286760372465818,0.7127976190476191,0.5445544554455446,0.8388791593695272,0.22795473953236717,0.7707160096540627,0.6286760372465818,0.7127976190476191,0.5445544554455446,0.8388791593695272
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,xgb_all_unweighted,xgboost,all,1020,13,0.7497779922779921,0.8953756072252068,0.18543148040771484,0.3580169648104297,0.727561556791104,0.700530888030888,0.6189189189189189,0.7821428571428571,0.882466281310212,0.0,0.8409090909090909,0.5,1.0,0.0,0.7254901960784313,0.3427410294173447,0.6620926243567753,0.6893822393822393,0.5216216216216216,0.8571428571428571,0.9061032863849765,0.3427410294173447,0.6620926243567753,0.6893822393822393,0.5216216216216216,0.8571428571428571,0.9061032863849765
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,xgb_all_unweighted,xgboost,all,872,16,0.7172209044186966,0.9066275069549573,0.17325592041015625,0.21087740739351926,0.8306569343065694,0.6026062098956908,0.8392330383480826,0.36597938144329895,0.8222543352601156,0.08963329329140916,0.875968992248062,0.5051546391752577,1.0,0.010309278350515464,0.7793103448275862,0.2273980793416368,0.6903914590747331,0.636651157132865,0.5722713864306784,0.7010309278350515,0.8699551569506726,0.2273980793416368,0.6903914590747331,0.636651157132865,0.5722713864306784,0.7010309278350515,0.8699551569506726
