model_id,model_family,feature_set,protocol,paper_id,paper_label,n_predictions,n_unique_rows,ignition_prevalence,roc_auc,pr_auc,brier
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::andracchio charles r and john c aydelott comparison of flame spreading over thin flat surfaces in normal gravity and weightlessness in an oxygen environment nasa technical memorandum nasa tm x 1992 1970,"Andracchio, Charles R., and John C. Aydelott. �Comparison of Flame Spreading over Thin Flat Surfaces",30,10,1.0,,,0.0010904842046011132
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::andracchio charles r and thomas h cochran burning of solids in oxygen rich environments in normal and reduced gravity nasa technical memorandum x 3055 national aeronautics and space administration may 1974,"Andracchio, Charles R., and Thomas H. Cochran.�Burning of Solids in Oxygen-Rich Environments in Norm",54,18,1.0,,,0.0007096950860866071
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::andracchio charles r and thomas h cochran gravity effects on flame spreading over solid surfaces nasa technical note d 8228 national aeronautics and space administration may 1976,"Andracchio, Charles R., and Thomas H. Cochran.�Gravity Effects on Flame Spreading over Solid Surface",222,74,0.9459459459459459,0.653968253968254,0.961354352868574,0.05362330797735182
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::ferkul paul v an experimental study of opposed flow diffusion flame extinction over a thin fuel in 0 nasa cr 182185 1989,"Ferkul, Paul V. 'An Experimental Study of Opposed Flow Diffusion Flame Extinction Over a Thin Fuel i",39,13,0.7692307692307693,0.7148148148148148,0.8551128572979754,0.24137098794012432
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::ferkul paul v et al combustion experiments on the mir space station 37th aerospace sciences meeting and exhibit american institute of aeronautics and astronautics 1999 paper aiaa 99 0439,"Ferkul, Paul V., et al. �Combustion Experiments on the Mir Space Station.� 37th Aerospace Sciences M",12,4,1.0,,,0.11071832194139097
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::grayson g d k r sacksteder p v ferkul and j s t ien flame spreading over a thin solid in low speed concurrent flow drop tower experimental results and comparison with theory 0 science and technology vii 2 1994,"Grayson, G. D., K. R. Sacksteder, P. V. Ferkul, and J. S. T�ien. 'Flame Spreading Over a Thin Solid ",78,26,0.7307692307692307,0.739766081871345,0.8463403223148048,0.2502499323488072
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::kimzey john howard flammability during weightlessness nasa technical memorandum nasa tm x 58001 may 1966,"Kimzey, John Howard. ""Flammability During Weightlessness."" NASA Technical Memorandum NASA TM X-58001",78,26,0.8076923076923077,0.5391534391534392,0.8137697911241132,0.16208058842458112
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::mell w e s l olson and t kashiwagi flame spread along free edges of thermally thin samples in 0 proceedings of the combustion institute vol 28 no 2 2000 pp 2843 2849,"Mell, W. E., S. L. Olson, and T. Kashiwagi. ""Flame Spread along Free Edges of Thermally Thin Samples",21,7,0.8571428571428571,0.4907407407407408,0.848105111263006,0.12054344697068199
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::meyer florian jan hei meier hans christoph ries and christian eigenbrod sooting behavior in concurrent and upward burning of cylindrical pmma samples 52nd international conference on environmental systems ices 2023 171 calgary canada 16 20 july 2023,"Meyer, Florian, Jan Hei�meier, Hans?Christoph Ries, and Christian Eigenbrod. ""Sooting Behavior in Co",30,10,1.0,,,0.006027633881071387
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::mitsui et al 2017 effect of ignition method on loc,Mitsui et al. (2017) Effect of Ignition Method on LOC,144,48,0.5833333333333334,0.49543650793650795,0.5819634723952447,0.4093158176892427
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::nagachi et al 2017 effect of flow direction on loc in 0,Nagachi et al. (2017) Effect of Flow Direction on LOC in 0,240,80,0.5375,0.6215168657029122,0.6150381567581481,0.36330154103189616
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::nishizawa et al 2003 effect of low external flow on flame spreading over etfe wire under 0,Nishizawa et al. (2003) Effect of Low External Flow on Flame Spreading over ETFE Wire under 0,33,11,1.0,,,0.1838633387168968
decision_tree_all,decision_tree,all,extrapolation_grouped,citation::olson nasa tm 100195 1987,"Olson, NASA TM-100195 (1987)",111,37,1.0,,,0.003546727039096841
