split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,xgb_all_unweighted,0.8421939611434937,0.275151789188385,0.8908019661903381,0.8908019661903381
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,xgb_all_unweighted,0.8026435971260071,0.28780028223991394,0.9138015508651733,0.9138015508651733
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,xgb_all_unweighted,0.760947585105896,0.5271002650260925,0.8769000172615051,0.8769000172615051
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,xgb_all_unweighted,0.8908762335777283,0.4269274175167084,0.9065895676612854,0.9065895676612854
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,xgb_all_unweighted,0.7669379711151123,0.284969300031662,0.8959463834762573,0.8959463834762573
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,xgb_all_unweighted,0.8428265452384949,0.36229005455970764,0.8598341345787048,0.8598341345787048
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,xgb_all_unweighted,0.8873456120491028,0.014124192297458649,0.9161791801452637,0.9161791801452637
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,xgb_all_unweighted,0.8697015643119812,0.42455193400382996,0.8697015643119812,0.8697015643119812
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,xgb_all_unweighted,0.778014600276947,0.009403163567185402,0.873874306678772,0.873874306678772
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,xgb_all_unweighted,0.7673983573913574,0.06685330718755722,0.9331663846969604,0.9331663846969604
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,xgb_all_unweighted,0.8568817973136902,0.010416489094495773,0.988229513168335,0.988229513168335
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,xgb_all_unweighted,0.797008752822876,0.3478545844554901,0.8354819416999817,0.8354819416999817
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,xgb_all_unweighted,0.8265549540519714,0.3894587457180023,0.869259774684906,0.869259774684906
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,xgb_all_unweighted,0.8925498127937317,0.4012751877307892,0.9273173213005066,0.9273173213005066
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,xgb_all_unweighted,0.8058925271034241,0.37279707193374634,0.8271734118461609,0.8271734118461609
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,xgb_all_unweighted,0.8044812679290771,0.45961031317710876,0.8705554604530334,0.8705554604530334
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,xgb_all_unweighted,0.8314180374145508,0.30594927072525024,0.861229419708252,0.861229419708252
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,xgb_all_unweighted,0.8712550401687622,0.3600521385669708,0.8712550401687622,0.8712550401687622
extrapolation_grouped__seed-43__fold-1,extrapolation_grouped,43,1,xgb_all_unweighted,0.7734628319740295,0.17154672741889954,0.9436075687408447,0.9436075687408447
extrapolation_grouped__seed-43__fold-2,extrapolation_grouped,43,2,xgb_all_unweighted,0.8512848019599915,0.007294783368706703,0.927065908908844,0.927065908908844
extrapolation_grouped__seed-43__fold-3,extrapolation_grouped,43,3,xgb_all_unweighted,0.8846057057380676,0.15566574037075043,0.9153540134429932,0.9153540134429932
extrapolation_grouped__seed-43__fold-4,extrapolation_grouped,43,4,xgb_all_unweighted,0.7964644432067871,0.32829394936561584,0.8787803649902344,0.8787803649902344
interpolation_holdout__seed-44__fold-0,interpolation_holdout,44,0,xgb_all_unweighted,0.8001030683517456,0.2626482844352722,0.843610942363739,0.843610942363739
interpolation_stratified__seed-44__fold-0,interpolation_stratified,44,0,xgb_all_unweighted,0.6661351323127747,0.3650425672531128,0.8696424961090088,0.8696424961090088
interpolation_stratified__seed-44__fold-1,interpolation_stratified,44,1,xgb_all_unweighted,0.7956193685531616,0.4558844268321991,0.8941463232040405,0.8941463232040405
interpolation_stratified__seed-44__fold-2,interpolation_stratified,44,2,xgb_all_unweighted,0.8610510230064392,0.3506914973258972,0.8757414221763611,0.8757414221763611
interpolation_stratified__seed-44__fold-3,interpolation_stratified,44,3,xgb_all_unweighted,0.7221641540527344,0.478788822889328,0.8203127384185791,0.8203127384185791
interpolation_stratified__seed-44__fold-4,interpolation_stratified,44,4,xgb_all_unweighted,0.8203673958778381,0.30978769063949585,0.8932952880859375,0.8932952880859375
extrapolation_grouped__seed-44__fold-0,extrapolation_grouped,44,0,xgb_all_unweighted,0.8522191047668457,0.101542167365551,0.8580244183540344,0.8580244183540344
extrapolation_grouped__seed-44__fold-1,extrapolation_grouped,44,1,xgb_all_unweighted,0.9425122737884521,0.0006658289348706603,0.9425122737884521,0.9425122737884521
