model_id,model_family,feature_set,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,fold_count
xgb_physics_unweighted,xgboost,physics,0.7210058906693564,0.065605240543232,0.8786681069090362,0.0446896071510825,0.1725492388010025,15
xgb_physics_class_paper_weighted_monotone_o2,xgboost,physics,0.7150644327625497,0.0762541860676792,0.8772257807001024,0.05281094893602,0.1897010793288548,15
xgb_physics_paper_bagging,xgboost,physics,0.7133343630417659,0.0629541718980161,0.87775442355928,0.0405151308475455,0.1755372116963068,15
knn_physics,knn,physics,0.7039840834279606,0.0673397124904343,0.8705591781328784,0.0356500480214588,0.2113037381893269,15
xgb_all_unweighted,xgboost,all,0.7017958173206864,0.0477399827736537,0.8712956564567423,0.0351236599262405,0.1854905088742574,15
svm_physics,svm,physics,0.6995370503918884,0.0631079489910838,0.8790175771873637,0.0275253732161094,0.1991470931194322,15
xgb_all_class_paper_weighted,xgboost,all,0.6982712665142042,0.0482146332238133,0.867179270926917,0.0317868831545397,0.1895871341228485,15
mlp_physics,mlp,physics,0.6958038692700981,0.0833101863943117,0.8661469377382602,0.049891779646212,0.2192658483982086,15
mlp_all,mlp,all,0.657936349223989,0.0846334547228208,0.8538175856331173,0.0461045720182667,0.2318492213884989,15
decision_tree_physics,decision_tree,physics,0.6560204580144414,0.0571325082231161,0.8276544309897332,0.0337777420630201,0.2298739260010309,15
svm_all,svm,all,0.6429435556040974,0.0784450470476979,0.8590345971254826,0.0321636205037336,0.2031123772903895,15
knn_all,knn,all,0.6284431911795577,0.0562179764209857,0.8294630715785014,0.031863516635607,0.2399411428784066,15
decision_tree_all,decision_tree,all,0.5956135626277627,0.1106408387035015,0.8011213729573198,0.0574100006015654,0.2503743072489728,15
xgb_all_focal_class_paper_weighted,xgboost,all,0.4923010188813154,0.0260700696361575,0.7523533301082664,0.0192528352335552,0.7397549033164978,15
xgb_physics_focal_class_paper_weighted,xgboost,physics,0.4910776684932385,0.0231958830671977,0.754184103545698,0.0208138992426211,0.731516428788503,15
