model_id,model_family,feature_set,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,fold_count
xgb_all_unweighted,xgboost,all,0.9140800328141008,0.0064037874614238,0.9719922507269776,0.0028062478572529,0.1048607930541038,15
xgb_all_class_paper_weighted,xgboost,all,0.9133801819006584,0.0066895072488056,0.971503884392314,0.0031896478087406,0.1128015841046969,15
xgb_physics_unweighted,xgboost,physics,0.8977596910865666,0.0077307291431095,0.965804453423532,0.003886833500448,0.1127741008996963,15
xgb_physics_class_paper_weighted_monotone_o2,xgboost,physics,0.894869145635231,0.0092612512586668,0.9648052334732096,0.0044067910091736,0.1254644975066185,15
xgb_physics_paper_bagging,xgboost,physics,0.8746992695491922,0.0137215806888821,0.9578272697600916,0.0062831982860459,0.1235509465138117,15
mlp_all,mlp,all,0.8651003371646616,0.0121761957280378,0.9536646708690248,0.0052175345386261,0.1511978149414062,15
svm_all,svm,all,0.8645304803512783,0.0115349652463718,0.9523406667121908,0.0058055421971113,0.173236137780339,15
decision_tree_all,decision_tree,all,0.8538713124198026,0.0196182828392517,0.938087452505385,0.0119661123300773,0.1525225390763586,15
svm_physics,svm,physics,0.8444945699267172,0.013206498835415,0.943805851082071,0.0070202424015227,0.1822579315325987,15
mlp_physics,mlp,physics,0.8420775320999111,0.0142801770276281,0.944150434542388,0.0084456593193381,0.1708929886420568,15
decision_tree_physics,decision_tree,physics,0.8375166305448538,0.0156179860259151,0.935064519301674,0.0071055323517378,0.1640334768550329,15
knn_physics,knn,physics,0.8259983138195732,0.0134311561250831,0.9278896097010648,0.0080363705811742,0.1779054904931541,15
knn_all,knn,all,0.8229442971048236,0.0133508970794185,0.9295284617128164,0.0069010227108477,0.1812573051247447,15
xgb_all_focal_class_paper_weighted,xgboost,all,0.4914685228726455,0.0111001585436818,0.7525613982433741,0.0032459739537593,0.7539598306020101,15
xgb_physics_focal_class_paper_weighted,xgboost,physics,0.4891890939809496,0.0259769268548119,0.752750570499716,0.0070044459965108,0.7509416262308757,15
