feature,mean_absolute_shap
numeric__oxygen_fraction,0.32525948
numeric__fuel_pyrolysis_t_k,0.2551171
numeric__gas_molar_mass,0.19809124
numeric__flow_speed_abs_mm_s,0.17204124
numeric__gravity_g,0.118830174
numeric__gas_density_kg_m3,0.08480545
numeric__flow_velocity_mm_s,0.075471394
numeric__gas_k_w_mk,0.057436638
numeric__fuel_density_kg_m3,0.055364415
numeric__gas_cp_j_kgk,0.053385194
categorical__geometry_cat_Flat,0.03712579
numeric__fuel_cp_j_kgk,0.03401553
numeric__log10_gravity_g,0.031966455
numeric__pressure_kpa,0.030121747
numeric__gas_nu_m2_s,0.023773335
categorical__geometry_cat_Cylindrical,0.01843795
numeric__fuel_alpha_m2_s,0.016203258
numeric__gas_alpha_m2_s,0.014252552
numeric__core_density_kg_m3,0.013787785
numeric__core_k_w_mk,0.013087755
categorical__flow_direction_cat_Unknown,0.012747545
numeric__fuel_k_w_mk,0.010255665
categorical__gravity_regime_cat_Microgravity,0.0080424445
categorical__gravity_regime_cat_Earth,0.006949679
categorical__flow_direction_cat_Coflow,0.003213759
categorical__flow_direction_cat_Counterflow,0.003190599
numeric__core_cp_j_kgk,0.0017366844
categorical__gravity_regime_cat_Partial,0.001182978
categorical__gravity_regime_cat_Hyper / Unknown,0.000705915
categorical__geometry_cat_Wire,0.00033530733
categorical__flow_direction_cat_Quiescent,0.000102356724
categorical__diluent_cat_N2,0.0
categorical__diluent_cat_He,0.0
categorical__geometry_cat_Unknown,0.0
categorical__geometry_cat_Spherical,0.0
categorical__diluent_cat_CO2,0.0
categorical__diluent_cat_Ar,0.0
