paper,Accuracy,BalancedAcc,Precision,Recall,F1,MCC,n,n_pos,ROC_AUC,PR_AUC
"Kobayashi, Yoshinari, et al. ""Opposed flame spread over polyethylene under variable flow velocity and oxygen concentration in 0."" Fire Technology 56 (2020): 113-130.",0.3103448275862069,0.5,0.3103448275862069,1.0,0.47368421052631576,0.0,29,9,0.8333333333333333,0.7314853155432866
"Urban, David, et al. “Solid Fuel Ignition Testing for Lunar Applications, Theory and Experimental Results.” Proceedings of the 54th International Conference on Environmental Systems (ICES), Prague, Czech Republic, 13–17 July 2025",0.4144736842105263,0.43432055749128917,0.41739130434782606,0.6857142857142857,0.518918918918919,-0.15256876032869263,152,70,0.3091463414634147,0.34685139739171345
"Feier, Ioan I., et al. 'Upward flame spread over thin solids in partial gravity.' Proceedings of the Combustion Institute 29 (2002): 2569–2577.",0.4782608695652174,0.5,0.4782608695652174,1.0,0.6470588235294118,0.0,46,22,0.7746212121212122,0.6734487734487735
"Olson, S. L., and P. V. Ferkul. “Evaluating Material Flammability in 0 and Martian Gravity Compared to the NASA Standard Normal Gravity Test.” 42nd International Conference on Environmental Systems, American Institute of Aeronautics and Astronautics, 2012.",0.59375,0.59375,0.5517241379310345,1.0,0.7111111111111111,0.3216337604513384,32,16,0.76953125,0.8010721162895076
"Ma, Yuxuan, Fangsi Ren, Taro Takemata, Shinji Nakaya, and Mitsuhiro Tsue. ""Near-Limit Downward/Opposed Flame Spread, Flame Front Oscillation and Limiting Oxygen Concentration of B-LDPE Tube in Normal- and Hypergravity."" Fire Safety Journal, vol. 152, 2025, article 104329. https://doi.org/10.1016/j.firesaf.2024.104329.",0.6555023923444976,0.6258741258741258,0.7709923664122137,0.7062937062937062,0.7372262773722628,0.24194881569074897,209,143,0.7564102564102564,0.8856004096825058
"Carney, Ama, Yanjun Li, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Concurrent-flow flame spread over thin discrete fuels in 0."" Combustion and Flame 226 (2021): 211-221.",0.8,0.5,0.8,1.0,0.8888888888888888,0.0,10,8,0.46875,0.7916666666666667
"Nagachi, Masashi, et al. ""Can a spreading flame over electric wire insulation in concurrent flow achieve steady propagation in 0?"" Proceedings of the Combustion Institute 37.3 (2019): 4155-4162.",0.8,0.8,1.0,0.8,0.8888888888888888,,30,30,,
"Grayson, G. D., K. R. Sacksteder, P. V. Ferkul, and J. S. T’ien. 'Flame Spreading Over a Thin Solid in Low-speed Concurrent Flow – Drop Tower Experimental Results and Comparison with Theory.' 0 Science and Technology VII/2 (1994).",0.8076923076923077,0.868421052631579,1.0,0.7368421052631579,0.8484848484848485,0.6556100681071857,26,19,0.8308270676691729,0.945763417300512
"Zhu, Feng, Shuangfeng Wang, and Zhanbin Lu. ""A Comparative Study of Near-Limit Flame Spread Over a Thick Solid in Space- and Ground-Based Experiments."" 0 Science and Technology, vol. 30, 2018, pp. 943–949. https://doi.org/10.1007/s12217-018-9655-0.",0.810126582278481,0.857685009487666,0.9795918367346939,0.7741935483870968,0.8648648648648649,0.6057485358170418,79,62,0.9539848197343453,0.9876235397497142
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in 0."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.",0.8163265306122449,0.5,0.8163265306122449,1.0,0.898876404494382,0.0,49,40,0.9097222222222223,0.971209469029293
