Citation,,,Sample,,,Flow,,,,,,,Extra,,,,Outputs,,,,,Info,,,
Article (MLA),Authors,DOI,"Geometry of Sample (Flat, wire, or Cylindrical)","Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",Material of sample,Oxygen Concentration,Pressure,Flow Velocity (Co flow is + and counter flow is -),Rig Name,"Internal geometry (Cylindrical , rectangular)",Internal Dimensions ,Gravity (g/gearth),"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)","Ignition method (Wire, open flame, or Radiative Heater",Ignition power (W),Ignition time (s),Ignition (Yes/No),Flame Length,FSR (Flame Spread Rate),HRR (Heat release rate),Smoke/ Areosols (yes/no),,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,56.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,36.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,60.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,42.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,56.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,43.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,30.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,22.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,35.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,23.000,,,Orientation=vertical,,,
